Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",66.9%,"$1,369,544,272"
2,Black Panther,"$1,346,913,161","$700,059,566",48%,"$646,853,595"
3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",68.1%,"$890,748,184"
4,Incredibles 2,"$1,242,805,359","$608,581,744",51%,"$634,223,615"
5,Aquaman,"$1,148,461,807","$335,061,807",70.8%,"$813,400,000"
6,Bohemian Rhapsody,"$903,655,259","$216,428,042",76%,"$687,227,217"
7,Venom,"$856,085,151","$213,515,506",75.1%,"$642,569,645"
8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",72.2%,"$570,956,000"
9,Deadpool 2,"$734,546,611","$318,491,426",56.6%,"$416,055,185"
10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",75.6%,"$495,300,000"
11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",65.2%,"$406,025,399"
12,Ready Player One,"$582,890,172","$137,690,172",76.4%,"$445,200,000"
13,Operation Red Sea,"$579,330,426","$1,543,547",99.7%,"$577,786,879"
14,Detective Chinatown 2,"$544,185,156","$1,983,984",99.6%,"$542,201,172"
15,The Meg,"$530,243,742","$145,443,742",72.6%,"$384,800,000"
16,Ralph Breaks the Internet,"$529,323,962","$201,091,711",62%,"$328,232,251"
17,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",68.3%,"$361,073,758"
18,The Grinch,"$511,595,957","$270,620,950",47.1%,"$240,975,007"
19,Bumblebee,"$467,989,645","$127,195,589",72.8%,"$340,794,056"
20,A Star Is Born,"$436,188,866","$215,288,866",50.6%,"$220,900,000"
21,Rampage,"$428,028,233","$101,028,233",76.4%,"$327,000,000"
22,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",69.5%,"$274,409,771"
23,Solo: A Star Wars Story,"$392,924,807","$213,767,512",45.6%,"$179,157,295"
24,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",49.3%,"$185,299,521"
25,Fifty Shades Freed,"$371,985,018","$100,407,760",73%,"$271,577,258"
26,The Nun,"$365,550,119","$117,450,119",67.9%,"$248,100,000"
27,Monster Hunt 2,"$361,682,618","$706,153",99.8%,"$360,976,465"
28,Peter Rabbit,"$351,266,433","$115,253,424",67.2%,"$236,013,009"
29,Mary Poppins Returns,"$349,537,494","$171,958,438",50.8%,"$177,579,056"
30,A Quiet Place,"$340,939,361","$188,024,361",44.9%,"$152,915,000"
31,Green Book,"$321,752,656","$85,080,171",73.6%,"$236,672,485"
32,Skyscraper,"$304,868,961","$68,420,120",77.6%,"$236,448,841"
33,Ocean's 8,"$297,718,711","$140,218,711",52.9%,"$157,500,000"
34,Pacific Rim: Uprising,"$290,930,148","$59,874,525",79.4%,"$231,055,623"
35,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",79.9%,"$230,142,892"
36,Tomb Raider,"$274,650,803","$58,250,803",78.8%,"$216,400,000"
37,Halloween,"$255,485,178","$159,342,015",37.6%,"$96,143,163"
38,Crazy Rich Asians,"$238,532,921","$174,532,921",26.8%,"$64,000,000"
39,Creed II,"$214,215,889","$115,715,889",46%,"$98,500,000"
40,Smallfoot,"$214,040,103","$83,240,103",61.1%,"$130,800,000"
41,The Island,"$198,326,350","$670,883",99.7%,"$197,655,467"
42,Christopher Robin,"$197,744,377","$99,215,042",49.8%,"$98,529,335"
43,The Equalizer 2,"$190,400,157","$102,084,362",46.4%,"$88,315,795"
44,The Mule,"$174,804,407","$103,804,407",40.6%,"$71,000,000"
45,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",68.5%,"$119,102,218"
46,Insidious: The Last Key,"$167,885,588","$67,745,330",59.6%,"$100,140,258"
47,The Predator,"$160,542,134","$51,024,708",68.2%,"$109,517,426"
48,Johnny English Strikes Again,"$158,970,776","$4,412,170",97.2%,"$154,558,606"
49,Red Sparrow,"$151,572,634","$46,874,505",69.1%,"$104,698,129"
50,More Than Blue,"$142,958,164","$722,669",99.5%,"$142,235,495"
51,The First Purge,"$137,056,262","$69,488,745",49.3%,"$67,567,517"
52,How Long Will I Love U,"$136,796,719","$746,933",99.5%,"$136,049,786"
53,A Wrinkle in Time,"$132,675,864","$100,478,608",24.3%,"$32,197,256"
54,The House with a Clock in Its Walls,"$131,457,147","$68,549,695",47.9%,"$62,907,452"
55,Instant Family,"$120,556,201","$67,363,237",44.1%,"$53,192,964"
56,A Cool Fish,"$118,153,135","$551,876",99.5%,"$117,601,259"
57,Game Night,"$117,679,066","$69,179,066",41.2%,"$48,500,000"
58,Dragon Ball Super: Broly,"$115,560,610","$30,712,119",73.4%,"$84,848,491"
59,The Monkey King 3,"$115,084,576","$187,074",99.8%,"$114,897,502"
60,First Man,"$105,697,415","$44,936,545",57.5%,"$60,760,870"
61,Book Club,"$104,438,188","$68,566,296",34.3%,"$35,871,892"
62,Night School,"$103,105,878","$77,339,130",25%,"$25,766,748"
63,Alpha,"$98,203,196","$35,857,181",63.5%,"$62,346,015"
64,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",98.8%,"$96,761,992"
65,A Simple Favor,"$97,644,617","$53,548,586",45.2%,"$44,096,031"
66,The Favourite,"$95,918,706","$34,366,783",64.2%,"$61,551,923"
67,Truth or Dare,"$95,330,493","$41,411,015",56.6%,"$53,919,478"
68,I Feel Pretty,"$94,539,426","$48,795,601",48.4%,"$45,743,825"
69,Blockers,"$94,017,294","$60,311,495",35.9%,"$33,705,799"
70,BlacKkKlansman,"$93,400,823","$49,275,340",47.2%,"$44,125,483"
71,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747"
72,Shadow,"$91,708,374","$521,396",99.4%,"$91,186,978"
73,Overboard,"$91,244,913","$50,316,123",44.9%,"$40,928,790"
74,Sherlock Gnomes,"$90,497,778","$43,242,871",52.2%,"$47,254,907"
75,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",99.7%,"$89,777,808"
76,Robin Hood,"$86,489,031","$30,824,628",64.4%,"$55,664,403"
77,I Can Only Imagine,"$86,071,446","$83,482,352",3%,"$2,589,094"
78,Mortal Engines,"$83,672,673","$15,951,040",80.9%,"$67,721,633"
79,Den of Thieves,"$80,509,622","$44,947,622",44.2%,"$35,562,000"
80,Hereditary,"$80,200,936","$44,069,456",45.1%,"$36,131,480"
81,Tag,"$78,130,625","$54,730,625",29.9%,"$23,400,000"
82,Sanju,"$76,693,052","$7,909,317",89.7%,"$68,783,735"
83,Vice,"$76,073,488","$47,836,282",37.1%,"$28,237,206"
84,Widows,"$75,984,700","$42,402,632",44.2%,"$33,582,068"
85,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",34%,"$25,765,508"
86,Searching,"$75,462,037","$26,020,957",65.5%,"$49,441,080"
87,The Spy Who Dumped Me,"$75,320,680","$33,562,069",55.4%,"$41,758,611"
88,Second Act,"$72,282,227","$39,282,227",45.7%,"$33,000,000"
89,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",98.3%,"$69,010,962"
90,Shoplifters,"$67,999,335","$3,313,513",95.1%,"$64,685,822"
91,12 Strong,"$67,450,815","$45,819,713",32.1%,"$21,631,102"
92,"Love, Simon","$66,316,289","$40,826,341",38.4%,"$25,489,948"
93,Mile 22,"$66,308,758","$36,108,758",45.5%,"$30,200,000"
94,Life of the Party,"$65,859,911","$53,059,911",19.4%,"$12,800,000"
95,Capernaum,"$64,413,178","$1,661,096",97.4%,"$62,752,082"
96,Isle of Dogs,"$64,241,499","$32,015,231",50.2%,"$32,226,268"
97,Adrift,"$59,945,012","$31,445,012",47.5%,"$28,500,000"
98,The 15:17 to Paris,"$57,076,286","$36,276,286",36.4%,"$20,800,000"
99,Early Man,"$54,622,814","$8,267,544",84.9%,"$46,355,270"
100,Peppermint,"$53,918,723","$35,418,723",34.3%,"$18,500,000"
101,Teen Titans GO! to the Movies,"$52,090,236","$29,790,236",42.8%,"$22,300,000"
102,Slender Man,"$51,738,549","$30,569,484",40.9%,"$21,169,065"
103,Breaking In,"$51,411,620","$46,840,590",8.9%,"$4,571,030"
