Rank,Release Group,Worldwide,Domestic,%,Foreign
146,Iceman,"$26,033,917","$7,679",100%,"$26,026,238"
147,"Love, Rosie","$25,574,387","$20,431",99.9%,"$25,553,956"
148,A Haunted House 2,"$25,358,716","$17,329,486",31.7%,"$8,029,230"
149,And So It Goes,"$25,312,387","$15,160,801",40.1%,"$10,151,586"
150,Kung Fu Jungle,"$24,070,765","$129,784",99.5%,"$23,940,981"
151,Fading Gigolo,"$22,706,304","$3,769,873",83.4%,"$18,936,431"
152,Mr. Turner,"$22,179,785","$3,958,500",82.2%,"$18,221,285"
153,Sabotage,"$22,126,842","$10,508,518",52.5%,"$11,618,324"
154,Legends of Oz: Dorothy's Return,"$21,755,418","$8,462,347",61.1%,"$13,293,071"
155,Bears,"$21,316,745","$17,780,194",16.6%,"$3,536,551"
156,Yves Saint Laurent,"$21,026,290","$723,593",96.6%,"$20,302,697"
157,El nino,"$20,918,976","$1,237",100%,"$20,917,739"
158,That Demon Within,"$20,415,934","$172,343",99.2%,"$20,243,591"
159,Labor Day,"$20,275,812","$13,371,528",34.1%,"$6,904,284"
160,Foxcatcher,"$19,206,513","$12,096,300",37%,"$7,110,213"
161,The Drop,"$18,658,381","$10,724,389",42.5%,"$7,933,992"
162,Cantinflas,"$17,966,873","$6,382,924",64.5%,"$11,583,949"
163,The Quiet Ones,"$17,835,162","$8,509,867",52.3%,"$9,325,295"
164,Before I Go to Sleep,"$17,669,776","$3,242,457",81.6%,"$14,427,319"
165,Addicted,"$17,534,314","$17,390,770",0.8%,"$143,544"
166,Calvary,"$16,887,741","$3,600,006",78.7%,"$13,287,735"
167,The Pyramid,"$16,861,137","$2,756,333",83.7%,"$14,104,804"
168,Pride,"$16,699,029","$1,446,634",91.3%,"$15,252,395"
169,Belle,"$16,607,575","$10,726,630",35.4%,"$5,880,945"
170,The Single Moms Club,"$16,365,451","$15,973,881",2.4%,"$391,570"
171,Vampire Academy,"$15,642,346","$7,791,979",50.2%,"$7,850,367"
172,Inherent Vice,"$14,710,975","$8,110,975",44.9%,"$6,600,000"
173,Beyond the Lights,"$14,618,727","$14,618,727",-,-
174,America: Imagine the World Without Her,"$14,444,502","$14,444,502",-,-
175,Island of Lemurs: Madagascar,"$14,066,534","$11,272,213",19.9%,"$2,794,321"
176,The Two Faces of January,"$13,551,951","$507,463",96.3%,"$13,044,488"
177,Mommy,"$13,156,856","$3,494,070",73.4%,"$9,662,786"
178,The Connection,"$12,062,441","$190,980",98.4%,"$11,871,461"
179,A Most Violent Year,"$12,007,070","$5,749,134",52.1%,"$6,257,936"
180,The Interview,"$11,782,625","$6,105,175",48.2%,"$5,677,450"
181,The Loft,"$11,016,443","$6,002,684",45.5%,"$5,013,759"
182,My Old Lady,"$10,606,667","$4,013,786",62.2%,"$6,592,881"
183,Moms' Night Out,"$10,536,956","$10,429,707",1%,"$107,249"
184,The Babadook,"$10,312,540","$964,413",90.6%,"$9,348,127"
185,Human Capital,"$9,113,941","$158,549",98.3%,"$8,955,392"
186,"Two Days, One Night","$9,016,922","$1,436,243",84.1%,"$7,580,679"
187,What If,"$8,526,288","$3,493,000",59%,"$5,033,288"
188,The Love Punch,"$8,366,493","$266,588",96.8%,"$8,099,905"
189,Walk of Shame,"$8,122,990","$59,209",99.3%,"$8,063,781"
190,Bad Words,"$7,804,337","$7,779,614",0.3%,"$24,723"
191,Finding Fanny,"$7,685,784","$615,691",92%,"$7,070,093"
192,Hippocrates: Diary of a French Doctor,"$7,555,591","$23,050",99.7%,"$7,532,541"
193,A Long Way Down,"$7,257,942","$13,347",99.8%,"$7,244,595"
194,Timbuktu,"$7,179,391","$1,076,075",85%,"$6,103,316"
195,Postman Pat: The Movie,"$7,102,455","$1,519",100%,"$7,100,936"
196,Jessabelle,"$6,998,359",-,100%,"$6,998,359"
197,What We Do in the Shadows,"$6,946,808","$3,469,224",50.1%,"$3,477,584"
198,Cesar Chavez 2014 Re-release,"$6,719,925","$5,571,497",17.1%,"$1,148,428"
199,The Raid 2,"$6,566,916","$2,627,209",60%,"$3,939,707"
200,Hector and the Search for Happiness,"$6,337,728","$1,124,445",82.3%,"$5,213,283"
201,Tiger & Bunny: The Rising,"$6,168,617","$34,471",99.4%,"$6,134,146"
202,Darker Than Night,"$6,160,114","$870,063",85.9%,"$5,290,051"
203,The Trip to Italy,"$6,089,109","$2,880,537",52.7%,"$3,208,572"
204,Meet the Mormons,"$6,047,363","$6,047,363",-,-
205,Tracks,"$5,853,509","$510,007",91.3%,"$5,343,502"
206,Phoenix,"$5,793,245","$3,184,472",45%,"$2,608,773"
207,The Skeleton Twins,"$5,776,640","$5,284,309",8.5%,"$492,331"
208,Under the Skin,"$5,735,963","$2,614,251",54.4%,"$3,121,712"
209,Wish I Was Here,"$5,670,776","$3,591,299",36.7%,"$2,079,477"
210,Innocence,"$5,605,724","$294,039",94.8%,"$5,311,685"
211,Pawn Sacrifice,"$5,578,519","$2,436,633",56.3%,"$3,141,886"
212,Dheepan,"$5,562,575","$261,819",95.3%,"$5,300,756"
213,Escobar: Paradise Lost,"$5,552,496","$195,792",96.5%,"$5,356,704"
214,The Salt of the Earth,"$5,412,189","$1,343,349",75.2%,"$4,068,840"
215,Kick,"$5,233,794","$2,472,695",52.8%,"$2,761,099"
216,Kill the Messenger,"$5,218,973","$2,450,846",53%,"$2,768,127"
217,The New Girlfriend,"$5,215,796","$146,754",97.2%,"$5,069,042"
218,"Good Day, Ramon","$5,104,868","$154,356",97%,"$4,950,512"
219,Serena,"$5,092,129","$176,391",96.5%,"$4,915,738"
220,Dark Places,"$5,090,852","$208,588",95.9%,"$4,882,264"
221,Locke,"$5,090,608","$1,375,769",73%,"$3,714,839"
222,The Liberator,"$5,082,098","$113,067",97.8%,"$4,969,031"
223,Nymphomaniac: Vol. II,"$4,934,725","$327,167",93.4%,"$4,607,558"
224,[REC] 4: Apocalypse,"$4,915,757",$837,100%,"$4,914,920"
225,Jimmy's Hall,"$4,825,184","$560,592",88.4%,"$4,264,592"
226,Predestination,"$4,824,499","$68,372",98.6%,"$4,756,127"
227,Trash,"$4,809,022","$17,484",99.6%,"$4,791,538"
228,Clouds of Sils Maria,"$4,728,401","$1,851,517",60.8%,"$2,876,884"
229,Gemma Bovery,"$4,644,525","$191,533",95.9%,"$4,452,992"
230,Dear White People,"$4,633,961","$4,404,154",5%,"$229,807"
231,Labyrinth of Lies,"$4,574,756","$794,452",82.6%,"$3,780,304"
232,Maps to the Stars,"$4,510,934","$350,741",92.2%,"$4,160,193"
233,Leviathan,"$4,439,481","$1,092,800",75.4%,"$3,346,681"
234,Clown,"$4,381,603","$55,007",98.7%,"$4,326,596"
235,The Grand Seduction,"$4,292,517","$3,430,018",20.1%,"$862,499"
236,Diplomacy,"$4,207,242","$230,880",94.5%,"$3,976,362"
237,Song of the Sea,"$4,190,670","$857,522",79.5%,"$3,333,148"
238,Force Majeure,"$4,094,339","$1,359,497",66.8%,"$2,734,842"
239,Horns,"$3,875,442","$173,948",95.5%,"$3,701,494"
240,The Homesman,"$3,819,421","$2,429,989",36.4%,"$1,389,432"
241,Citizenfour,"$3,780,692","$2,800,870",25.9%,"$979,822"
242,Black Sea,"$3,758,103","$1,171,559",68.8%,"$2,586,544"
243,Number One Fan,"$3,650,598","$15,549",99.6%,"$3,635,049"
244,Ghostbusters 30th Anniversary Release,"$3,580,343","$3,580,343",-,-
245,2 States,"$3,558,887","$2,238,174",37.1%,"$1,320,713"
246,The Riot Club,"$3,517,925","$7,734",99.8%,"$3,510,191"
247,Veronica Mars: The Movie,"$3,485,383","$3,322,127",4.7%,"$163,256"
248,Jack and the Cuckoo-Clock Heart,"$3,484,370",-,100%,"$3,484,370"
249,Enemy,"$3,468,224","$1,008,726",70.9%,"$2,459,498"
250,Words and Pictures,"$3,438,874","$2,171,257",36.9%,"$1,267,617"
251,Next Time I'll Aim for the Heart,"$3,418,213",$815,100%,"$3,417,398"
252,The Good Lie,"$3,396,345","$2,722,209",19.8%,"$674,136"
253,Anything for Alice,"$3,387,582","$1,092",100%,"$3,386,490"
254,Obvious Child,"$3,325,417","$3,123,963",6.1%,"$201,454"
255,The Mystery of Happiness,"$3,216,374","$8,528",99.7%,"$3,207,846"
256,Saint Laurent,"$3,202,241","$429,477",86.6%,"$2,772,764"
257,Rosewater,"$3,171,593","$3,128,941",1.3%,"$42,652"
258,3 Hearts,"$3,077,754","$161,129",94.8%,"$2,916,625"
259,'71,"$3,062,178","$1,270,847",58.5%,"$1,791,331"
260,Starred Up,"$3,025,189","$54,915",98.2%,"$2,970,274"
261,Love Is Strange 2014 Re-release,"$2,979,739","$2,262,223",24.1%,"$717,516"
262,The Identical,"$2,840,991","$2,827,666",0.5%,"$13,325"
263,The Fluffy Movie: Unity Through Laughter,"$2,827,393","$2,827,393",-,-
264,Kirk Cameron's Saving Christmas,"$2,783,970","$2,783,970",-,-
265,The Wonders,"$2,772,358","$73,378",97.4%,"$2,698,980"
266,The Guest,"$2,700,051","$332,890",87.7%,"$2,367,161"
267,Third Person,"$2,624,761","$1,021,398",61.1%,"$1,603,363"
268,The Signal,"$2,595,622","$600,896",76.8%,"$1,994,726"
269,In the Name of My Daughter,"$2,537,899","$277,528",89.1%,"$2,260,371"
270,The Rover,"$2,510,007","$1,114,423",55.6%,"$1,395,584"
271,Love at First Fight,"$2,446,362","$25,229",99%,"$2,421,133"
272,Joe,"$2,431,443","$373,375",84.6%,"$2,058,068"
273,Life of Riley,"$2,423,379","$11,616",99.5%,"$2,411,763"
274,Beloved Sisters,"$2,407,680","$54,030",97.8%,"$2,353,650"
275,Finding Vivian Maier,"$2,384,584","$1,514,782",36.5%,"$869,802"
276,Laggies,"$2,379,154","$1,066,981",55.2%,"$1,312,173"
277,The Remaining,"$2,297,261","$1,169,603",49.1%,"$1,127,658"
278,Going Away,"$2,290,889","$19,501",99.1%,"$2,271,388"
279,Anchorman 2: The Legend Continues R-Rated Extended Cut,"$2,185,255","$2,184,339",<0.1%,$916
280,The Oscar Nominated Short Films 2014: Live Action,"$2,171,849","$2,171,849",-,-
281,Let There Be Victory,"$2,122,804","$1,264,515",40.4%,"$858,289"
282,"20,000 Days on Earth","$2,105,558","$279,558",86.7%,"$1,826,000"
283,The Captive,"$2,090,612","$1,075,178",48.6%,"$1,015,434"
284,Singham Returns,"$1,974,745","$1,232,018",37.6%,"$742,727"
285,Frank,"$1,897,363","$645,186",66%,"$1,252,177"
286,Awake: The Life of Yogananda,"$1,891,918","$1,539,680",18.6%,"$352,238"
287,Tusk,"$1,882,074","$1,826,705",2.9%,"$55,369"
288,Girlhood,"$1,862,990","$60,765",96.7%,"$1,802,225"
289,The Dark Horse,"$1,862,114","$67,533",96.4%,"$1,794,581"
290,"Men, Women & Children","$1,705,908","$705,908",58.6%,"$1,000,000"
291,Tim's Vermeer,"$1,686,917","$1,671,377",0.9%,"$15,540"
292,The Double,"$1,662,515","$200,406",87.9%,"$1,462,109"
293,All You Need Is Love,"$1,620,654",-,100%,"$1,620,654"
294,Lou!,"$1,581,125",$287,100%,"$1,580,838"
295,Persecuted,"$1,558,836","$1,558,836",-,-
296,Cold in July,"$1,547,630","$427,418",72.4%,"$1,120,212"
297,Fed Up,"$1,546,229","$1,538,899",0.5%,"$7,330"
298,Shaadi Ke Side Effects,"$1,521,778","$921,277",39.5%,"$600,501"
299,A Pigeon Sat on a Branch Reflecting on Existence,"$1,472,431","$222,989",84.9%,"$1,249,442"
300,Life of Crime,"$1,456,675","$265,452",81.8%,"$1,191,223"
301,The Disappearance of Eleanor Rigby: Them,"$1,448,076","$587,774",59.4%,"$860,302"
302,The Devil's Hand,"$1,428,494","$5,746",99.6%,"$1,422,748"
303,The Zero Theorem,"$1,428,362","$257,706",82%,"$1,170,656"
304,Haider,"$1,404,307","$1,048,143",25.4%,"$356,164"
305,Holiday: A Soldier is Never Off Duty,"$1,390,054","$706,893",49.1%,"$683,161"
306,Khoobsurat,"$1,375,623","$710,508",48.4%,"$665,115"
307,The Salvation,"$1,363,964","$44,903",96.7%,"$1,319,061"
308,Gimme Shelter,"$1,362,018","$1,359,910",0.2%,"$2,108"
309,Hard to Be a God,"$1,299,035","$28,608",97.8%,"$1,270,427"
310,Black Souls,"$1,278,360","$101,088",92.1%,"$1,177,272"
311,The Villain,"$1,278,108","$730,530",42.8%,"$547,578"
312,Gett,"$1,259,160","$988,150",21.5%,"$271,010"
313,Anna,"$1,257,142","$4,288",99.7%,"$1,252,854"
314,The Blue Room,"$1,232,900","$254,666",79.3%,"$978,234"
315,The Cut,"$1,232,140","$28,066",97.7%,"$1,204,074"
316,Kochadaiiyaan,"$1,210,580","$817,192",32.5%,"$393,388"
317,The Way He Looks,"$1,207,841","$101,451",91.6%,"$1,106,390"
318,Noble 2014 Re-release,"$1,207,386","$347,321",71.2%,"$860,065"
319,Repentance,"$1,194,961","$1,189,612",0.4%,"$5,349"
320,Dead Snow 2: Red vs. Dead,"$1,187,477","$37,473",96.8%,"$1,150,004"
321,Breathe,"$1,158,695","$42,297",96.3%,"$1,116,398"
322,Walking With The Enemy,"$1,112,592","$1,112,592",-,-
323,Northern Soul,"$1,092,359","$8,886",99.2%,"$1,083,473"
324,50 to 1,"$1,064,454","$1,064,454",-,-
325,The Song,"$1,009,620","$1,009,620",-,-
326,Long Live Freedom 2014 Re-release,"$995,990","$48,541",95.1%,"$947,449"
327,Blue Ruin,"$993,313","$258,384",74%,"$734,929"
328,The Dinner,"$944,808","$7,282",99.2%,"$937,526"
329,Palo Alto,"$919,591","$767,732",16.5%,"$151,859"
330,Hasee Toh Phasee,"$916,906","$646,035",29.5%,"$270,871"
331,The Dead Lands,"$906,158","$5,240",99.4%,"$900,918"
332,You're Not You,"$894,964","$11,486",98.7%,"$883,478"
333,Particle Fever,"$869,838","$869,838",-,-
334,Bird People,"$866,211","$32,111",96.3%,"$834,100"
335,Highway,"$858,783","$529,136",38.4%,"$329,647"
336,Night Moves,"$858,513","$271,755",68.3%,"$586,758"
337,Atlas Shrugged: Who Is John Galt?,"$846,704","$846,704",-,-
338,Gunday,"$843,232",-,100%,"$843,232"
339,Mary Kom,"$839,840","$621,300",26%,"$218,540"
340,13 Sins,"$826,913","$13,809",98.3%,"$813,104"
341,K: Missing Kings,"$826,323","$33,531",95.9%,"$792,792"
342,Life Itself,"$815,645","$810,454",0.6%,"$5,191"
343,Saw 10th Anniversary Release,"$815,324","$815,324",-,-
344,Futuro Beach,"$779,835","$20,262",97.4%,"$759,573"
345,Yalom's Cure,"$766,974","$1,164",99.8%,"$765,810"
346,A Five Star Life 2014 Re-release,"$749,653","$306,917",59.1%,"$442,736"
347,The Bride of Humpty Sharma,"$746,788","$380,011",49.1%,"$366,777"
348,Land Ho!,"$727,594","$727,594",-,-
349,Effie Gray,"$721,143","$352,534",51.1%,"$368,609"
350,Frankie & Alice 2014 Re-release,"$695,876","$695,876",-,-
351,A Matter of Faith,"$680,113","$680,113",-,-
352,Jodorowsky's Dune,"$647,280","$647,280",-,-
353,Elsa & Fred,"$635,901","$285,863",55%,"$350,038"
354,Nowitzki: The Perfect Shot,"$619,517","$41,340",93.3%,"$578,177"
355,Paulo Coelho's Best Story,"$617,377","$8,808",98.6%,"$608,569"
356,The Little Death,"$601,162","$18,238",97%,"$582,924"
357,Jimi: All Is by My Side,"$599,840","$340,911",43.2%,"$258,929"
358,The One I Love,"$596,933","$513,447",14%,"$83,486"
359,Are You Here,"$594,396",-,100%,"$594,396"
360,White God,"$581,904","$282,358",51.5%,"$299,546"
361,Goodbye to Language,"$566,423","$401,889",29%,"$164,534"
362,Forrest Gump 2014 IMAX Release,"$557,683","$557,683",-,-
363,Open Windows,"$550,108","$1,750",99.7%,"$548,358"
364,23 Blast,"$549,185","$549,185",-,-
365,A Girl Walks Home Alone at Night,"$546,352","$491,910",10%,"$54,442"
366,Rudderless,"$546,149","$58,293",89.3%,"$487,856"
367,On Any Sunday: The Next Chapter,"$543,044","$543,044",-,-
368,I'm Your Hero,"$519,274","$274,579",47.1%,"$244,695"
369,A Hard Day's Night 2014 Re-release,"$515,005","$515,005",-,-
370,Eden,"$494,949","$65,460",86.8%,"$429,489"
371,Two Night Stand,"$492,332","$18,612",96.2%,"$473,720"
372,Wolves,"$491,154","$12,139",97.5%,"$479,015"
373,I Origins,"$481,234","$336,472",30.1%,"$144,762"
