Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",77.8%,"$858,614,996"
2,The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",73.3%,"$700,900,000"
3,Guardians of the Galaxy,"$772,776,600","$333,176,600",56.9%,"$439,600,000"
4,Maleficent,"$758,410,378","$241,410,378",68.2%,"$517,000,000"
5,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",55.4%,"$418,220,826"
6,X-Men: Days of Future Past,"$746,045,700","$233,921,534",68.6%,"$512,124,166"
7,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",63.6%,"$454,654,931"
8,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",70.7%,"$502,098,977"
9,The Amazing Spider-Man 2,"$708,982,323","$202,853,933",71.4%,"$506,128,390"
10,Interstellar,"$677,463,813","$188,020,017",72.2%,"$489,443,796"
11,Big Hero 6,"$657,827,828","$222,527,828",66.2%,"$435,300,000"
12,How to Train Your Dragon 2,"$621,537,519","$177,002,924",71.5%,"$444,534,595"
13,American Sniper,"$547,426,372","$350,126,372",36%,"$197,300,000"
14,Godzilla,"$524,976,069","$200,676,069",61.8%,"$324,300,000"
15,Rio 2,"$498,781,117","$131,538,435",73.6%,"$367,242,682"
16,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",60.6%,"$293,800,000"
17,The Lego Movie,"$468,060,692","$257,760,692",44.9%,"$210,300,000"
18,Lucy,"$458,863,600","$126,663,600",72.4%,"$332,200,000"
19,Penguins of Madagascar,"$373,515,621","$83,850,911",77.6%,"$289,664,710"
20,Edge of Tomorrow,"$370,541,256","$100,206,256",73%,"$270,335,000"
21,Gone Girl,"$369,330,363","$167,767,189",54.6%,"$201,563,174"
22,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",68.7%,"$249,458,014"
23,Noah,"$359,200,044","$101,200,044",71.8%,"$258,000,000"
24,The Maze Runner,"$348,319,861","$102,427,862",70.6%,"$245,891,999"
25,300: Rise of an Empire,"$337,580,051","$106,580,051",68.4%,"$231,000,000"
26,22 Jump Street,"$331,333,876","$191,719,337",42.1%,"$139,614,539"
27,The Fault in Our Stars,"$307,166,834","$124,872,350",59.3%,"$182,294,484"
28,Divergent,"$288,885,818","$150,947,895",47.7%,"$137,937,923"
29,Paddington,"$282,370,135","$76,271,832",73%,"$206,098,303"
30,Mr. Peabody & Sherman,"$275,698,039","$111,506,430",59.6%,"$164,191,609"
31,Neighbors,"$270,665,134","$150,157,400",44.5%,"$120,507,734"
32,Exodus: Gods and Kings,"$268,175,631","$65,014,513",75.8%,"$203,161,118"
33,Annabelle,"$257,047,661","$84,273,813",67.2%,"$172,773,848"
34,Hercules,"$244,819,862","$72,688,614",70.3%,"$172,131,248"
35,RoboCop,"$242,688,965","$58,607,007",75.9%,"$184,081,958"
36,The Imitation Game,"$233,555,708","$91,125,683",61%,"$142,430,025"
37,Non-Stop,"$222,809,600","$92,168,600",58.6%,"$130,641,000"
38,Dracula Untold,"$217,124,280","$56,280,355",74.1%,"$160,843,925"
39,The Expendables 3,"$214,657,577","$39,322,544",81.7%,"$175,335,033"
40,Into the Woods,"$212,902,372","$128,002,372",39.9%,"$84,900,000"
41,Fury,"$211,817,906","$85,817,906",59.5%,"$126,000,000"
42,Need for Speed,"$203,277,636","$43,577,636",78.6%,"$159,700,000"
43,The Other Woman,"$196,710,396","$83,911,193",57.3%,"$112,799,203"
44,The Equalizer,"$192,330,738","$101,530,738",47.2%,"$90,800,000"
45,Breakup Buddies,"$189,017,596","$777,896",99.6%,"$188,239,700"
46,The Grand Budapest Hotel,"$172,936,941","$59,301,324",65.7%,"$113,635,617"
47,Dumb and Dumber To,"$169,837,010","$86,208,010",49.2%,"$83,629,000"
48,Into the Storm,"$161,502,194","$47,602,194",70.5%,"$113,900,000"
49,Unbroken,"$161,459,297","$115,637,895",28.4%,"$45,821,402"
50,The Monuments Men,"$155,641,650","$78,031,620",49.9%,"$77,610,030"
51,Ride Along,"$154,468,902","$134,938,200",12.6%,"$19,530,702"
52,Planes: Fire & Rescue,"$146,965,787","$59,165,787",59.7%,"$87,800,000"
53,The Taking of Tiger Mountain,"$141,654,055","$228,984",99.8%,"$141,425,071"
54,The Admiral: Roaring Currents,"$138,342,258","$2,589,811",98.1%,"$135,752,447"
55,Let's Be Cops,"$138,224,951","$82,390,774",40.4%,"$55,834,177"
56,Annie,"$136,853,506","$85,911,262",37.2%,"$50,942,244"
57,Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412",62.7%,"$84,926,336"
58,Blended,"$127,994,610","$46,294,610",63.8%,"$81,700,000"
59,Sex Tape,"$126,069,509","$38,543,473",69.4%,"$87,526,036"
60,The Theory of Everything,"$123,726,688","$35,893,537",71%,"$87,833,151"
61,The Nut Job,"$120,885,527","$64,251,541",46.8%,"$56,633,986"
62,Pompeii,"$117,831,631","$23,219,748",80.3%,"$94,611,883"
63,Seventh Son,"$114,178,613","$17,223,265",84.9%,"$96,955,348"
64,The Purge: Anarchy,"$111,928,365","$71,962,800",35.7%,"$39,965,565"
65,The Boxtrolls,"$108,255,770","$50,837,305",53%,"$57,418,465"
66,Horrible Bosses 2,"$107,645,357","$54,445,357",49.4%,"$53,200,000"
67,The Breakup Guru,"$106,980,263","$208,959",99.8%,"$106,771,304"
68,Ouija,"$103,590,271","$50,856,010",50.9%,"$52,734,261"
69,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",59%,"$60,874,496"
70,Transcendence,"$103,039,258","$23,022,309",77.7%,"$80,016,949"
71,Heaven Is for Real,"$101,888,019","$91,443,253",10.3%,"$10,444,766"
72,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149","$66,954,149",33.5%,"$33,700,000"
73,Tammy,"$100,375,432","$84,525,432",15.8%,"$15,850,000"
74,PK,"$100,370,104","$10,616,104",89.4%,"$89,754,000"
75,The Book of Life,"$99,783,556","$50,151,543",49.7%,"$49,632,013"
76,Ode To My Father,"$99,085,291","$2,300,121",97.7%,"$96,785,170"
77,Fleet of Time,"$94,244,191","$569,280",99.4%,"$93,674,911"
78,Paranormal Activity: The Marked Ones,"$90,894,962","$32,462,372",64.3%,"$58,432,590"
79,The Hundred-Foot Journey,"$89,514,453","$54,240,821",39.4%,"$35,273,632"
80,Deliver Us from Evil,"$87,937,815","$30,577,122",65.2%,"$57,360,693"
81,A Million Ways to Die in the West,"$87,189,756","$43,139,300",50.5%,"$44,050,456"
82,Step Up All In,"$86,165,646","$14,904,384",82.7%,"$71,261,262"
83,John Wick,"$86,013,056","$43,037,835",50%,"$42,975,221"
84,The Judge,"$84,419,388","$47,119,388",44.2%,"$37,300,000"
85,Muppets Most Wanted,"$80,383,113","$51,183,113",36.3%,"$29,200,000"
86,If I Stay,"$78,274,843","$50,474,843",35.5%,"$27,800,000"
87,"I, Frankenstein","$76,801,179","$19,075,290",75.2%,"$57,725,889"
88,Crimson Peak,"$74,679,822","$31,090,320",58.4%,"$43,589,502"
89,Brick Mansions,"$71,416,730","$20,396,829",71.4%,"$51,019,901"
90,Son of God,"$70,829,270","$59,700,064",15.7%,"$11,129,206"
91,Think Like a Man Too,"$70,181,428","$65,182,182",7.1%,"$4,999,246"
92,Jersey Boys,"$67,647,013","$47,047,013",30.5%,"$20,600,000"
93,The Giver,"$66,980,456","$45,090,374",32.7%,"$21,890,082"
94,Selma,"$66,787,908","$52,076,908",22%,"$14,711,000"
95,Beijing Love Story,"$65,842,375","$428,318",99.3%,"$65,414,057"
96,The Pirates,"$64,858,224","$415,775",99.4%,"$64,442,449"
97,God's Not Dead,"$64,667,874","$60,755,732",6%,"$3,912,142"
98,Begin Again,"$63,464,861","$16,170,632",74.5%,"$47,294,229"
99,The Walk,"$61,181,942","$10,137,502",83.4%,"$51,044,440"
100,A Walk Among the Tombstones,"$58,834,384","$26,307,600",55.3%,"$32,526,784"
101,Dolphin Tale 2,"$57,824,533","$42,024,533",27.3%,"$15,800,000"
102,St. Vincent,"$54,837,234","$44,137,712",19.5%,"$10,699,522"
103,No Good Deed,"$54,323,210","$52,543,632",3.3%,"$1,779,578"
104,3 Days to Kill,"$53,260,230","$30,697,999",42.4%,"$22,562,231"
105,Wild,"$52,501,541","$37,880,356",27.8%,"$14,621,185"
106,Magic in the Moonlight,"$51,029,361","$10,539,326",79.3%,"$40,490,035"
107,About Last Night,"$50,445,860","$48,637,684",3.6%,"$1,808,176"
108,Whiplash,"$48,982,041","$13,092,000",73.3%,"$35,890,041"
109,Chef,"$48,428,048","$31,424,003",35.1%,"$17,004,045"
110,Boyhood,"$48,137,666","$25,352,281",47.3%,"$22,785,385"
111,Coming Home,"$47,587,984","$377,607",99.2%,"$47,210,377"
112,Beauty and the Beast,"$47,430,624",-,100%,"$47,430,624"
113,Nightcrawler,"$47,398,992","$32,381,217",31.7%,"$15,017,775"
114,Earth to Echo,"$45,681,062","$38,934,842",14.8%,"$6,746,220"
115,That Awkward Moment,"$45,640,143","$26,068,955",42.9%,"$19,571,188"
116,Wei ai zhi jian ru jia jing,"$45,386,560","$271,734",99.4%,"$45,114,826"
117,Oculus,"$44,446,287","$27,695,246",37.7%,"$16,751,041"
118,Bang Bang,"$42,045,981","$2,546,172",93.9%,"$39,499,809"
119,"As Above, So Below","$41,898,409","$21,321,100",49.1%,"$20,577,309"
120,This Is Where I Leave You,"$41,296,320","$34,296,320",17%,"$7,000,000"
121,The November Man,"$39,661,919","$25,018,119",36.9%,"$14,643,800"
122,Frank Miller's Sin City: A Dame to Kill For,"$39,407,616","$13,757,804",65.1%,"$25,649,812"
123,The Gambler,"$39,280,992","$33,680,992",14.3%,"$5,600,000"
124,Samba,"$39,178,695","$151,530",99.6%,"$39,027,165"
125,Women Who Flirt,"$39,156,132","$375,495",99%,"$38,780,637"
126,The Best of Me,"$38,609,668","$26,766,213",30.7%,"$11,843,455"
127,Million Dollar Arm,"$38,483,455","$36,457,627",5.3%,"$2,025,828"
128,The Water Diviner,"$38,176,317","$4,196,641",89%,"$33,979,676"
129,But Always,"$38,039,248","$430,760",98.9%,"$37,608,488"
130,Devil's Due,"$36,921,560","$15,821,461",57.1%,"$21,100,099"
131,A Most Wanted Man,"$36,233,517","$17,237,855",52.4%,"$18,995,662"
132,Kundo: Age of the Rampant,"$35,941,291","$280,958",99.2%,"$35,660,333"
133,When Marnie Was There,"$34,949,567","$561,085",98.4%,"$34,388,482"
134,Endless Love,"$34,718,173","$23,438,250",32.5%,"$11,279,923"
135,Get on Up,"$33,448,971","$30,703,100",8.2%,"$2,745,871"
136,Tazza: The Hidden Card,"$31,278,476","$251,555",99.2%,"$31,026,921"
137,Winter's Tale,"$30,800,231","$12,600,231",59.1%,"$18,200,000"
138,Wild Tales,"$30,642,704","$3,106,530",89.9%,"$27,536,174"
139,When the Game Stands Tall,"$30,138,754","$30,127,963",<0.1%,"$10,791"
140,Draft Day,"$29,824,199","$28,842,237",3.3%,"$981,962"
141,Big Eyes,"$29,253,166","$14,482,031",50.5%,"$14,771,135"
142,The Divine Move,"$27,926,871","$136,707",99.5%,"$27,790,164"
143,Left Behind,"$27,405,896","$14,019,924",48.8%,"$13,385,972"
144,A Hard Day,"$26,488,847","$19,004",99.9%,"$26,469,843"
145,Top Five,"$26,117,471","$25,317,471",3.1%,"$800,000"
