Rank,Release Group,Worldwide,Domestic,%,Foreign
43,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",45%,"$86,500,000"
44,Downton Abbey,"$192,094,429","$96,854,135",49.6%,"$95,240,294"
45,The White Storm 2: Drug Lords,"$189,396,380","$609,461",99.7%,"$188,786,919"
46,Abominable,"$181,711,856","$60,716,390",66.6%,"$120,995,466"
47,Gemini Man,"$173,469,516","$48,546,770",72%,"$124,922,746"
48,Spies in Disguise,"$171,616,764","$66,757,013",61.1%,"$104,859,751"
49,Hustlers,"$157,563,598","$104,963,598",33.4%,"$52,600,000"
50,The Climbers,"$156,759,167","$487,157",99.7%,"$156,272,010"
51,Escape Room,"$155,712,077","$57,005,601",63.4%,"$98,706,476"
52,Yesterday,"$153,037,124","$73,286,650",52.1%,"$79,750,474"
53,The Angry Birds Movie 2,"$147,792,047","$41,667,116",71.8%,"$106,124,931"
54,Angel Has Fallen,"$146,661,977","$69,030,436",52.9%,"$77,631,541"
55,Ad Astra,"$127,461,872","$50,188,370",60.6%,"$77,273,502"
56,The Upside,"$125,852,517","$108,252,517",14%,"$17,600,000"
57,Midway,"$125,645,712","$56,846,802",54.8%,"$68,798,910"
58,The Curse of la Llorona,"$123,133,739","$54,733,739",55.5%,"$68,400,000"
59,Looking Up,"$122,994,583","$84,267",99.9%,"$122,910,316"
60,Zombieland: Double Tap,"$122,810,399","$73,123,082",40.5%,"$49,687,317"
61,Last Christmas,"$121,550,750","$35,150,750",71.1%,"$86,400,000"
62,Extreme Job,"$119,932,733","$1,565,885",98.7%,"$118,366,848"
63,Dora and the Lost City of Gold,"$119,682,635","$60,477,943",49.5%,"$59,204,692"
64,Wonder Park,"$119,559,110","$45,216,793",62.2%,"$74,342,317"
65,P Storm,"$117,991,727","$326,711",99.7%,"$117,665,016"
66,Pet Sematary,"$113,118,226","$54,724,696",51.6%,"$58,393,530"
67,Good Boys,"$110,989,316","$83,140,306",25.1%,"$27,849,010"
68,Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",34.1%,"$35,598,430"
69,Line Walker 2: Invisible Spy,"$99,482,027","$296,751",99.7%,"$99,185,276"
70,The Hustle,"$95,017,038","$35,417,038",62.7%,"$59,600,000"
71,Crawl,"$91,542,097","$39,014,193",57.4%,"$52,527,904"
72,Five Feet Apart,"$91,522,094","$45,729,221",50%,"$45,792,873"
73,Rambo: Last Blood,"$91,490,353","$44,819,352",51%,"$46,671,001"
74,Jojo Rabbit,"$90,335,025","$33,370,906",63.1%,"$56,964,119"
75,One Piece: Stampede,"$81,562,741","$1,298,528",98.4%,"$80,264,213"
76,A Dog's Way Home,"$80,708,134","$42,004,346",48%,"$38,703,788"
77,Cold Pursuit,"$76,419,755","$32,138,862",57.9%,"$44,280,893"
78,A Dog's Journey,"$75,602,573","$22,782,371",69.9%,"$52,820,202"
79,A Madea Family Funeral,"$74,747,725","$73,257,045",2%,"$1,490,680"
80,Cats,"$73,735,874","$27,166,770",63.2%,"$46,569,104"
81,Charlie's Angels,"$73,279,888","$17,803,077",75.7%,"$55,476,811"
82,Doctor Sleep,"$72,381,712","$31,581,712",56.4%,"$40,800,000"
83,What Men Want,"$72,216,294","$54,611,903",24.4%,"$17,604,391"
84,After,"$69,733,482","$12,138,565",82.6%,"$57,594,917"
85,Exit,"$69,501,772","$470,699",99.3%,"$69,031,073"
86,Playing with Fire,"$68,631,669","$44,451,847",35.2%,"$24,179,822"
87,A Beautiful Day in the Neighborhood,"$67,760,877","$61,704,055",8.9%,"$6,056,822"
88,War,"$67,179,155","$4,654,000",93.1%,"$62,525,155"
89,Happy Death Day 2U,"$64,600,152","$28,148,130",56.4%,"$36,452,022"
90,White Snake,"$61,631,776","$34,730",99.9%,"$61,597,046"
91,Ma,"$61,105,672","$45,896,028",24.9%,"$15,209,644"
92,Bombshell,"$59,636,523","$31,762,808",46.7%,"$27,873,715"
93,Ready or Not,"$57,615,777","$28,714,231",50.2%,"$28,901,546"
94,Long Shot,"$53,873,809","$30,316,271",43.7%,"$23,557,538"
95,Breakthrough,"$50,444,358","$40,713,082",19.3%,"$9,731,276"
96,Just Mercy,"$50,401,502","$36,001,502",28.6%,"$14,400,000"
97,Uncut Gems,"$50,023,780","$50,023,780",-,-
98,21 Bridges,"$49,939,757","$28,539,757",42.9%,"$21,400,000"
99,Little,"$48,987,096","$40,860,481",16.6%,"$8,126,615"
100,Isn't It Romantic,"$48,791,187","$48,791,187",-,-
101,Countdown,"$48,021,766","$25,621,766",46.6%,"$22,400,000"
102,Midsommar,"$47,863,365","$27,426,361",42.7%,"$20,437,004"
103,Queen & Slim,"$47,577,596","$43,808,310",7.9%,"$3,769,286"
104,47 Meters Down: Uncaged,"$46,783,103","$22,260,900",52.4%,"$24,522,203"
105,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",99.6%,"$45,536,722"
106,Child's Play,"$44,902,237","$29,208,403",35%,"$15,693,834"
107,Hellboy,"$44,664,690","$21,903,748",51%,"$22,760,942"
108,Richard Jewell,"$43,745,542","$22,345,542",48.9%,"$21,400,000"
109,Judy,"$43,613,708","$24,313,888",44.3%,"$19,299,820"
110,Harriet,"$43,282,155","$43,082,155",0.5%,"$200,000"
111,Fighting with My Family,"$40,810,036","$22,958,886",43.7%,"$17,851,150"
112,The Intruder,"$40,807,454","$35,419,122",13.2%,"$5,388,332"
113,Overcomer,"$38,026,103","$34,746,945",8.6%,"$3,279,158"
114,Pain and Glory,"$37,137,074","$4,567,338",87.7%,"$32,569,736"
115,The Bad Guys: The Movie,"$34,024,386","$166,972",99.5%,"$33,857,414"
116,The Good Liar,"$33,856,058","$17,156,058",49.3%,"$16,700,000"
117,The Art of Racing in the Rain,"$33,766,787","$26,395,642",21.8%,"$7,371,145"
118,Bharat,"$33,185,983","$2,971,549",91%,"$30,214,434"
119,Brightburn,"$32,893,421","$17,300,439",47.4%,"$15,592,982"
120,UglyDolls,"$32,450,241","$20,150,241",37.9%,"$12,300,000"
121,Stuber,"$32,390,945","$22,370,452",30.9%,"$10,020,493"
122,The Kid Who Would Be King,"$32,140,970","$16,790,790",47.8%,"$15,350,180"
123,Anna,"$31,640,190","$7,743,794",75.5%,"$23,896,396"
124,The Wild Goose Lake,"$31,037,956","$12,573",100%,"$31,025,383"
125,Gully Boy,"$28,141,995","$5,566,534",80.2%,"$22,575,461"
126,Total Dhamaal,"$26,911,995","$2,167,632",91.9%,"$24,744,363"
127,No Manches Frida 2,"$26,493,648","$9,270,920",65%,"$17,222,728"
128,Missing Link,"$26,249,469","$16,649,539",36.6%,"$9,599,930"
129,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",99.2%,"$25,558,877"
130,Booksmart,"$24,863,452","$22,680,962",8.8%,"$2,182,490"
131,Super 30,"$24,701,637","$2,269,878",90.8%,"$22,431,759"
132,The Peanut Butter Falcon,"$23,022,343","$20,457,151",11.1%,"$2,565,192"
133,Black and Blue,"$22,741,061","$22,055,313",3%,"$685,748"
134,The Farewell,"$22,517,864","$17,695,781",21.4%,"$4,822,083"
135,Late Night,"$22,386,555","$15,499,454",30.8%,"$6,887,101"
136,Dark Waters,"$21,570,073","$11,136,084",48.4%,"$10,433,989"
137,Shaft,"$21,360,215","$21,360,215",-,-
138,Hotel Mumbai,"$21,314,816","$9,651,611",54.7%,"$11,663,205"
139,Unplanned,"$21,051,915","$19,005,109",9.7%,"$2,046,806"
140,Always Miss You,"$19,015,465","$91,884",99.5%,"$18,923,581"
141,Greta,"$18,653,107","$10,532,219",43.5%,"$8,120,888"
142,Peppa Celebrates Chinese New Year,"$18,653,040","$131,225",99.3%,"$18,521,815"
143,Black Christmas,"$18,529,730","$10,429,730",43.7%,"$8,100,000"
144,Motherless Brooklyn,"$18,477,736","$9,277,736",49.8%,"$9,200,000"
145,The Lighthouse,"$18,053,194","$10,867,104",39.8%,"$7,186,090"
146,Blinded by the Light,"$18,019,198","$11,901,145",34%,"$6,118,053"
147,Kalank,"$17,987,034","$2,729,336",84.8%,"$15,257,698"
148,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864","$420,595",97.6%,"$16,875,269"
149,Nothing to Lose 2,"$16,610,713","$1,150,551",93.1%,"$15,460,162"
150,Tazza: One-Eyed Jack,"$16,572,611","$97,655",99.4%,"$16,474,956"
151,Poms,"$16,418,218","$13,631,124",17%,"$2,787,094"
152,Little Q,"$16,360,233","$1,652",100%,"$16,358,581"
153,Playmobil: The Movie,"$16,349,303","$1,115,008",93.2%,"$15,234,295"
154,The Kitchen,"$15,980,032","$12,180,032",23.8%,"$3,800,000"
155,Miss Bala,"$15,383,580","$15,006,824",2.4%,"$376,756"
156,Apollo 11,"$15,342,353","$9,039,891",41.1%,"$6,302,462"
157,The Dead Don't Die,"$15,321,451","$6,563,605",57.2%,"$8,757,846"
158,Serenity,"$14,454,622","$8,547,045",40.9%,"$5,907,577"
159,The Current War: Director's Cut,"$12,242,451","$5,979,540",51.2%,"$6,262,911"
160,Miss & Mrs. Cops,"$12,147,170","$104,578",99.1%,"$12,042,592"
161,The Divine Fury,"$11,799,556","$102,982",99.1%,"$11,696,574"
162,Bring The Soul: The Movie,"$11,393,886","$4,809,800",57.8%,"$6,584,086"
163,Gloria Bell,"$11,145,006","$5,611,123",49.7%,"$5,533,883"
164,"Where'd You Go, Bernadette","$10,304,189","$9,198,356",10.7%,"$1,105,833"
165,The Best of Enemies,"$10,209,813","$10,205,616",<0.1%,"$4,197"
166,BTS World Tour: Love Yourself in Seoul,"$10,195,760","$3,509,917",65.6%,"$6,685,843"
167,The Goldfinch,"$9,932,621","$5,332,621",46.3%,"$4,600,000"
168,Portrait of a Lady on Fire,"$9,920,307","$3,759,854",62.1%,"$6,160,453"
169,Arctic Dogs,"$9,883,393","$5,801,249",41.3%,"$4,082,144"
170,Tod@s Caen,"$9,667,157","$2,670,925",72.4%,"$6,996,232"
171,Official Secrets,"$9,473,603","$1,988,546",79%,"$7,485,057"
172,Promare,"$9,465,371","$2,313,596",75.6%,"$7,151,775"
173,Jexi,"$9,333,385","$6,546,159",29.9%,"$2,787,226"
174,The Aftermath,"$9,215,591","$1,618,497",82.4%,"$7,597,094"
175,Tolkien,"$9,090,040","$4,535,154",50.1%,"$4,554,886"
176,Captive State,"$8,808,611","$5,958,315",32.4%,"$2,850,296"
177,Sorry We Missed You,"$8,746,534","$28,273",99.7%,"$8,718,261"
178,The Traitor,"$8,726,287","$296,027",96.6%,"$8,430,260"
179,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612","$522,805",94%,"$8,192,807"
180,Pavarotti,"$7,885,016","$4,600,249",41.7%,"$3,284,767"
181,The Battle of Jangsari,"$7,883,200","$70,853",99.1%,"$7,812,347"
182,By the Grace of God,"$7,755,652","$67,059",99.1%,"$7,688,593"
183,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048","$34,135",99.6%,"$7,698,913"
184,Penguins,"$7,699,452","$7,699,452",-,-
185,The White Crow,"$7,622,595","$1,828,784",76%,"$5,793,811"
186,Brittany Runs a Marathon,"$7,442,106","$7,189,808",3.4%,"$252,298"
187,Mayday Life,"$7,435,496","$85,912",98.8%,"$7,349,584"
188,Wild Rose,"$7,123,449","$1,635,117",77%,"$5,488,332"
189,The Sun Is Also a Star,"$6,750,029","$4,950,029",26.7%,"$1,800,000"
190,National Theatre Live: Fleabag,"$6,547,180","$326,283",95%,"$6,220,897"
191,Run the Race,"$6,424,420","$6,424,420",-,-
192,The Mustang,"$6,405,816","$5,043,620",21.3%,"$1,362,196"
193,Immortal Hero,"$6,180,032","$43,007",99.3%,"$6,137,025"
194,"Cyrano, My Love","$5,985,822","$351,019",94.1%,"$5,634,803"
195,Furie,"$5,717,640","$594,788",89.6%,"$5,122,852"
196,Saaho,"$5,708,522","$2,872,057",49.7%,"$2,836,465"
197,Mission Mangal,"$5,667,057","$3,659,413",35.4%,"$2,007,644"
198,Don't Let Go,"$5,288,011","$5,215,062",1.4%,"$72,949"
199,The Biggest Little Farm,"$5,248,412","$4,366,949",16.8%,"$881,463"
200,The Truth,"$5,171,578","$2,200",100%,"$5,169,378"
201,Forrest Gump 2019 Re-release,"$5,140,828","$203,088",96%,"$4,937,740"
202,The Professor and the Madman,"$5,105,195",-,100%,"$5,105,195"
203,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$5,078,942","$1,134,786",77.7%,"$3,944,156"
204,Menteur,"$4,697,364","$4,697,364",-,-
205,Jay and Silent Bob Reboot,"$4,691,248","$4,589,490",2.2%,"$101,758"
206,Housefull 4,"$4,624,936","$2,109,160",54.4%,"$2,515,776"
207,A Hidden Life,"$4,614,219","$1,730,597",62.5%,"$2,883,622"
208,The Last Black Man in San Francisco,"$4,607,017","$4,515,719",2%,"$91,298"
209,The Beach Bum,"$4,554,416","$3,502,600",23.1%,"$1,051,816"
210,Swift,"$4,428,275",-,100%,"$4,428,275"
211,Brian Banks,"$4,376,819","$4,376,819",-,-
212,Uri: The Surgical Strike 2019 Re-release,"$4,302,454","$4,186,168",2.7%,"$116,286"
213,Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",-,-
214,Savage,"$4,140,502","$74,491",98.2%,"$4,066,011"
215,Arctic 2019 Re-release,"$4,124,015","$2,410,795",41.5%,"$1,713,220"
216,Junglee,"$4,033,587","$295,784",92.7%,"$3,737,803"
217,Lucifer,"$3,956,978",-,100%,"$3,956,978"
218,Ride Your Wave,"$3,927,015","$332,432",91.5%,"$3,594,583"
219,Western Stars,"$3,681,681","$1,581,681",57%,"$2,100,000"
220,Badla,"$3,590,894","$1,861,000",48.2%,"$1,729,894"
221,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550","$3,531,094",0.2%,"$7,456"
222,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,531,837","$1,182,636",66.5%,"$2,349,201"
223,Faustina: Love and Mercy,"$3,498,887","$2,243,180",35.9%,"$1,255,707"
224,Maiden,"$3,495,241","$3,168,978",9.3%,"$326,263"
225,The Aeronauts,"$3,465,222",-,100%,"$3,465,222"
226,Bacurau,"$3,431,403","$58,115",98.3%,"$3,373,288"
227,Midnight Diner,"$3,412,771","$18,555",99.5%,"$3,394,216"
228,Friends 25th: The One With The Anniversary,"$3,403,406","$2,884,827",15.2%,"$518,579"
229,Honey Boy,"$3,400,977","$3,012,615",11.4%,"$388,362"
230,The Hole in the Ground,"$3,373,474","$21,072",99.4%,"$3,352,402"
231,Echo in the Canyon,"$3,355,324","$3,355,324",-,-
232,The Death & Life of John F. Donovan,"$3,326,364","$152,713",95.4%,"$3,173,651"
233,Chhichhore,"$3,307,350","$2,004,400",39.4%,"$1,302,950"
234,Marianne & Leonard: Words of Love,"$3,271,888","$1,012,034",69.1%,"$2,259,854"
235,Pilgrim's Progress,"$3,173,282","$1,294,596",59.2%,"$1,878,686"
236,All Is True,"$3,019,143","$1,200,481",60.2%,"$1,818,662"
237,Children of the Sea,"$2,789,668",-,100%,"$2,789,668"
238,After the Wedding,"$2,785,719","$1,574,258",43.5%,"$1,211,461"
239,Diego Maradona,"$2,656,890",-,100%,"$2,656,890"
240,Kinky Boots: The Musical,"$2,635,571","$900,451",65.8%,"$1,735,120"
241,Metallica & San Francisco Symphony - S&M2,"$2,582,847","$1,252,385",51.5%,"$1,330,462"
242,The Informer,"$2,579,970",-,100%,"$2,579,970"
243,Spirits in the Forest,"$2,531,785","$704,744",72.2%,"$1,827,041"
244,The Art of Self-Defense,"$2,414,269","$2,410,914",0.1%,"$3,355"
245,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$2,403,030","$90,341",96.2%,"$2,312,689"
246,Piranhas,"$2,298,525","$23,494",99%,"$2,275,031"
247,3 from Hell,"$2,295,825","$2,172,949",5.4%,"$122,876"
248,Luce,"$2,268,204","$2,010,613",11.4%,"$257,591"
249,Gone with the Wind 2019 Re-release,"$2,176,120","$2,176,120",-,-
250,The Wizard of Oz 2019 Re-release,"$2,097,514","$2,076,020",1%,"$21,494"
251,Waves,"$2,069,963","$1,658,790",19.9%,"$411,173"
252,42nd Street: The Musical,"$1,967,450","$187,440",90.5%,"$1,780,010"
253,Luka Chuppi,"$1,923,586","$1,042,905",45.8%,"$880,681"
254,Fantastic Fungi,"$1,849,050","$1,788,322",3.3%,"$60,728"
255,The Other Side of Heaven 2: Fire of Faith,"$1,807,216","$1,807,216",-,-
256,Polaroid,"$1,772,204",-,100%,"$1,772,204"
257,Invisible Life,"$1,747,849","$146,535",91.6%,"$1,601,314"
258,The Souvenir,"$1,719,157","$1,036,737",39.7%,"$682,420"
259,Matthias & Maxime,"$1,677,776","$374,739",77.7%,"$1,303,037"
260,La femme de mon frère,"$1,671,969","$539,524",67.7%,"$1,132,445"
261,Student of the Year 2,"$1,635,907","$778,566",52.4%,"$857,341"
262,Deerskin,"$1,615,875",-,100%,"$1,615,875"
263,The Crossing,"$1,589,212","$90,896",94.3%,"$1,498,316"
264,Monos,"$1,589,147","$406,473",74.4%,"$1,182,674"
265,Beanpole,"$1,587,651","$196,258",87.6%,"$1,391,393"
266,Teen Spirit,"$1,573,601","$441,366",72%,"$1,132,235"
267,The Kid,"$1,553,483","$1,508,593",2.9%,"$44,890"
268,Tel Aviv on Fire,"$1,548,893","$506,145",67.3%,"$1,042,748"
269,The Chaperone,"$1,541,223","$600,654",61%,"$940,569"
270,De De Pyaar De,"$1,473,116","$425,934",71.1%,"$1,047,182"
271,It 2019 Re-release,"$1,414,696","$1,347,126",4.8%,"$67,570"
272,El Chicano,"$1,404,646","$1,400,603",0.3%,"$4,043"
273,For Sama,"$1,396,596","$43,796",96.9%,"$1,352,800"
274,Alien 2019 Re-release,"$1,356,259","$833,658",38.5%,"$522,601"
275,Roger Waters - Us + Them,"$1,294,480","$611,644",52.7%,"$682,836"
276,Fagara,"$1,265,949","$43,417",96.6%,"$1,222,532"
277,Batla House,"$1,264,337","$493,180",61%,"$771,157"
278,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552","$1,226,552",-,-
279,Kingdom Men Rising,"$1,188,936","$1,188,936",-,-
280,Los Domirriqueños 2,"$1,187,280","$1,187,280",-,-
281,National Theater Live: Cyrano de Bergerac,"$1,173,512","$86,300",92.6%,"$1,087,212"
282,Honeyland,"$1,170,207","$815,082",30.3%,"$355,125"
283,The Goonies 2019 Re-release,"$1,148,173","$864,378",24.7%,"$283,795"
284,The Song of Names,"$1,138,700","$1,077,584",5.4%,"$61,116"
285,My Neighbor Totoro 2019 Re-release,"$1,105,703","$1,105,564",<0.1%,$139
286,El Coyote,"$1,101,470","$1,101,470",-,-
287,The Sky Is Pink,"$1,088,641","$652,592",40.1%,"$436,049"
288,Jesus Is King,"$1,082,629","$973,000",10.1%,"$109,629"
289,Mystify: Michael Hutchence,"$1,082,456","$289,573",73.2%,"$792,883"
290,Bennett's War,"$1,056,416","$1,056,416",-,-
291,Noah,"$1,035,603","$1,035,603",-,-
292,Cold Blood,"$1,009,888","$5,083",99.5%,"$1,004,805"
293,Kiki's Delivery Service 2019 Re-release,"$1,004,057","$1,004,057",-,-
294,Photograph,"$996,171","$344,534",65.4%,"$651,637"
295,American Masters: Miles Davis: Birth of the Cool,"$984,499","$614,201",37.6%,"$370,298"
296,Rush: Cinema Strangiato 2019,"$960,073","$960,073",-,-
297,The Fighting Preacher,"$954,641","$954,641",-,-
298,Toni Morrison: The Pieces I Am,"$927,495","$903,018",2.6%,"$24,477"
299,The Game Changers,"$897,992","$739,711",17.6%,"$158,281"
300,The Nightingale,"$885,916","$400,209",54.8%,"$485,707"
301,The Hummingbird Project,"$876,980","$371,784",57.6%,"$505,196"
302,Between Me and My Mind,"$875,191","$875,191",-,-
303,Howl's Moving Castle 2019 Re-release,"$865,647","$865,647",-,-
304,Steel Magnolias 2019 Re-release,"$855,421","$855,421",-,-
305,Joni 75: A Birthday Celebration,"$808,831","$752,205",7%,"$56,626"
306,The Whistlers,"$799,694","$55,608",93%,"$744,086"
307,Vita & Virginia,"$793,439","$42,741",94.6%,"$750,698"
308,Chonda Pierce: Unashamed,"$787,979","$787,979",-,-
309,The Church,"$772,000","$772,000",-,-
310,DanTDM Presents The Contest,"$765,363","$307,484",59.8%,"$457,879"
311,Patterns of Evidence: Moses Controversy,"$765,361","$765,361",-,-
312,I Love Lucy: A Colorized Celebration,"$754,323","$754,323",-,-
313,David Crosby: Remember My Name,"$732,793","$732,793",-,-
314,Where's My Roy Cohn?,"$722,603","$705,274",2.4%,"$17,329"
315,Frankie,"$695,680","$171,781",75.3%,"$523,899"
316,The Least of These: The Graham Staines Story,"$695,164","$607,015",12.7%,"$88,149"
317,Raise Hell: The Life & Times of Molly Ivins,"$694,410","$694,410",-,-
318,Romeo Akbar Walter,"$688,719","$236,299",65.7%,"$452,420"
319,Bethany Hamilton: Unstoppable,"$684,078","$590,671",13.7%,"$93,407"
320,Stockholm,"$665,527","$292,590",56%,"$372,937"
321,The Public,"$644,740","$573,503",11%,"$71,237"
322,Aquarela,"$638,907","$307,346",51.9%,"$331,561"
323,Asako I & II,"$627,102","$25,559",95.9%,"$601,543"
324,Give Me Liberty,"$624,445","$242,734",61.1%,"$381,711"
325,Nancy Drew and the Hidden Staircase,"$623,088","$623,088",-,-
326,Dirty Dancing 2019 Re-release,"$622,968","$622,968",-,-
327,Killerman,"$614,366","$291,477",52.6%,"$322,889"
328,The Muppet Movie 2019 Re-release,"$610,475","$610,475",-,-
329,Bolshoi Ballet: The Sleeping Beauty,"$606,872","$311,368",48.7%,"$295,504"
330,The Golden Glove,"$604,479","$6,160",99%,"$598,319"
331,To Kill a Mockingbird 2019 Re-release,"$592,237","$592,237",-,-
332,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904","$378,405",36.1%,"$213,499"
333,The Wonderland,"$591,857","$50,876",91.4%,"$540,981"
334,Seberg,"$585,845","$434,702",25.8%,"$151,143"
335,The Painted Bird,"$577,566",-,100%,"$577,566"
336,Light of My Life,"$573,790","$20,056",96.5%,"$553,734"
337,My Fair Lady 2019 Re-release,"$560,711","$560,711",-,-
338,Fiddler: A Miracle of Miracles,"$558,816","$549,386",1.7%,"$9,430"
339,"DCI 2019: Big, Loud & Live 16","$546,060","$546,060",-,-
340,The Day Shall Come,"$543,993","$26,972",95%,"$517,021"
341,Grateful Dead Meet-Up 2019,"$537,153","$537,153",-,-
342,CatVideoFest,"$536,566","$470,923",12.2%,"$65,643"
343,Margaret Atwood: Live in Cinemas,"$529,285","$93,690",82.3%,"$435,595"
344,The Audience 2019 Re-release,"$523,432","$106,529",79.6%,"$416,903"
345,Bolshoi Ballet: Carmen Suite/Petrushka,"$522,179","$207,523",60.3%,"$314,656"
346,The Spy Behind Home Plate,"$519,525","$519,525",-,-
347,Wild Nights with Emily,"$519,487","$519,487",-,-
348,Saving Private Ryan 2019 Re-release,"$508,694","$508,694",-,-
349,Synonyms,"$501,223","$206,003",58.9%,"$295,220"
350,Whisper of the Heart 2019 Re-release,"$498,156","$498,156",-,-
351,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770","$495,770",-,-
352,Monty Python's Life of Brian 2019 Re-release,"$493,971","$161,507",67.3%,"$332,464"
353,The Russian Five,"$485,049","$485,049",-,-
354,Lawrence of Arabia 2019 Re-release,"$482,281","$482,281",-,-
355,Liam Gallagher: As It Was,"$477,009",-,100%,"$477,009"
356,Hail Satan?,"$467,361","$424,284",9.2%,"$43,077"
357,Christmas Jars,"$459,462","$459,462",-,-
358,Cruel Intentions 2019 Re-release,"$445,218","$445,218",-,-
359,What We Left Behind: Star Trek DS9,"$434,437","$382,457",12%,"$51,980"
360,Ghostbusters 2019 Re-release,"$430,435","$369,612",14.1%,"$60,823"
361,Killing Sarai,"$425,332","$425,332",-,-
362,Ben-Hur 2019 Re-release,"$422,622","$422,622",-,-
363,The Cold Blue,"$420,177","$420,177",-,-
364,The Reliant,"$408,747","$408,747",-,-
365,"Hello, Dolly!","$400,881","$400,881",-,-
366,The Shawshank Redemption 2019 Re-release,"$387,095","$358,507",7.4%,"$28,588"
367,The Wedding Guest,"$386,166","$386,166",-,-
368,The Secret World of Arrietty 2019 Re-release,"$384,289","$384,289",-,-
369,Great Performances at the Met: Puccini: Turandot,"$375,295",-,100%,"$375,295"
