Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Avengers: Endgame,"$2,797,800,564","$858,373,000",69.3%,"$1,939,427,564"
2,The Lion King,"$1,656,943,394","$543,638,043",67.2%,"$1,113,305,351"
3,Frozen II,"$1,450,026,933","$477,373,578",67.1%,"$972,653,355"
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",65.5%,"$741,395,911"
5,Captain Marvel,"$1,128,274,794","$426,829,839",62.2%,"$701,444,955"
6,Joker,"$1,074,251,311","$335,451,311",68.8%,"$738,800,000"
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",52%,"$558,941,706"
8,Toy Story 4,"$1,073,394,593","$434,038,008",59.6%,"$639,356,585"
9,Aladdin,"$1,050,693,953","$355,559,216",66.2%,"$695,134,737"
10,Jumanji: The Next Level,"$796,575,993","$316,831,246",60.2%,"$479,744,747"
11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",77.1%,"$585,100,000"
12,Ne Zha,"$726,063,471","$3,695,533",99.5%,"$722,367,938"
13,The Wandering Earth,"$699,760,773","$5,875,487",99.2%,"$693,885,286"
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",69.2%,"$361,000,000"
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",76.8%,"$377,800,484"
16,It Chapter Two,"$473,093,228","$211,593,228",55.3%,"$261,500,000"
17,"My People, My Country","$450,064,993","$2,356,683",99.5%,"$447,708,310"
18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",66.7%,"$288,900,000"
19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",63.1%,"$271,176,898"
20,The Captain,"$416,953,262","$706,572",99.8%,"$416,246,690"
21,Alita: Battle Angel,"$404,852,543","$85,710,210",78.8%,"$319,142,333"
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",71.4%,"$276,100,000"
23,1917,"$374,717,445","$159,227,644",57.5%,"$215,489,801"
24,Once Upon a Time... in Hollywood,"$374,343,626","$142,502,728",61.9%,"$231,840,898"
25,Shazam!,"$365,971,656","$140,371,656",61.6%,"$225,600,000"
26,Dumbo,"$353,284,621","$114,766,307",67.5%,"$238,518,314"
27,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",47.7%,"$155,694,040"
28,Knives Out,"$309,232,797","$165,363,234",46.5%,"$143,869,563"
29,Terminator: Dark Fate,"$261,119,292","$62,253,077",76.2%,"$198,866,215"
30,Parasite,"$257,274,089","$53,369,749",79.3%,"$203,904,340"
31,Us,"$255,184,580","$175,084,580",31.4%,"$80,100,000"
32,Men in Black: International,"$253,890,701","$80,001,807",68.5%,"$173,888,894"
33,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",73.9%,"$186,597,000"
34,Glass,"$246,999,039","$111,048,468",55%,"$135,950,571"
35,The Bravest,"$245,179,562","$290,217",99.9%,"$244,889,345"
36,Annabelle Comes Home,"$231,252,591","$74,152,591",67.9%,"$157,100,000"
37,Ford v Ferrari,"$225,508,210","$117,624,357",47.8%,"$107,883,853"
38,Better Days,"$225,320,294","$1,921,657",99.1%,"$223,398,637"
39,Little Women,"$209,101,214","$108,101,214",48.3%,"$101,000,000"
40,The Addams Family,"$203,044,905","$100,044,905",50.7%,"$103,000,000"
41,Rocketman,"$195,179,299","$96,368,160",50.6%,"$98,811,139"
42,Weathering with You,"$193,127,136","$7,798,743",96%,"$185,328,393"
