Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",53.5%,"$712,358,507"
2,Beauty and the Beast,"$1,263,521,126","$504,014,165",60.1%,"$759,506,961"
3,The Fate of the Furious,"$1,236,005,118","$226,008,385",81.7%,"$1,009,996,733"
4,Despicable Me 3,"$1,034,799,409","$264,624,300",74.4%,"$770,175,109"
5,Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",58%,"$557,562,066"
6,Spider-Man: Homecoming,"$880,166,924","$334,201,140",62%,"$545,965,784"
7,Wolf Warrior 2,"$870,325,439","$2,721,100",99.7%,"$867,604,339"
8,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",54.9%,"$473,942,950"
9,Thor: Ragnarok,"$853,977,126","$315,058,289",63.1%,"$538,918,837"
10,Wonder Woman,"$821,847,012","$412,563,408",49.8%,"$409,283,604"
11,Coco,"$807,082,196","$209,726,015",74%,"$597,356,181"
12,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",78.3%,"$622,302,918"
13,It,"$700,381,748","$327,481,748",53.2%,"$372,900,000"
14,Justice League,"$657,924,295","$229,024,295",65.2%,"$428,900,000"
15,Logan,"$619,021,436","$226,277,068",63.4%,"$392,744,368"
16,Transformers: The Last Knight,"$605,425,157","$130,168,683",78.5%,"$475,256,474"
17,Kong: Skull Island,"$566,652,812","$168,052,812",70.3%,"$398,600,000"
18,The Boss Baby,"$527,965,936","$175,003,033",66.9%,"$352,962,903"
19,Dunkirk,"$525,245,546","$188,045,546",64.2%,"$337,200,000"
20,War for the Planet of the Apes,"$490,719,763","$146,880,162",70.1%,"$343,839,601"
21,The Greatest Showman,"$434,993,183","$174,340,174",59.9%,"$260,653,009"
22,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",75.6%,"$310,667,824"
23,The Mummy,"$409,231,607","$80,227,895",80.4%,"$329,003,712"
24,Cars 3,"$383,930,656","$152,901,115",60.2%,"$231,029,541"
25,Fifty Shades Darker,"$381,545,846","$114,581,250",70%,"$266,964,596"
26,Murder on the Orient Express,"$352,789,811","$102,826,543",70.9%,"$249,963,268"
27,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",87%,"$301,219,864"
28,The Lego Batman Movie,"$311,950,384","$175,750,384",43.7%,"$136,200,000"
29,The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",99.7%,"$306,753,468"
30,Annabelle: Creation,"$306,515,884","$102,092,201",66.7%,"$204,423,683"
31,Wonder,"$305,937,718","$132,422,809",56.7%,"$173,514,909"
32,Ferdinand,"$296,069,199","$84,410,380",71.5%,"$211,658,819"
33,Split,"$278,454,358","$138,291,365",50.3%,"$140,162,993"
34,Blade Runner 2049,"$259,239,658","$92,054,159",64.5%,"$167,185,499"
35,Kung Fu Yoga,"$257,743,016","$362,657",99.9%,"$257,380,359"
36,Get Out,"$255,407,969","$176,040,665",31.1%,"$79,367,304"
37,Baahubali 2: The Conclusion,"$254,158,390","$20,186,659",92.1%,"$233,971,731"
38,Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",99.6%,"$246,704,898"
39,Alien: Covenant,"$240,891,763","$74,262,031",69.2%,"$166,629,732"
40,Paddington 2,"$227,978,523","$40,891,591",82.1%,"$187,086,932"
41,Youth,"$227,091,290","$1,891,956",99.2%,"$225,199,334"
42,Baby Driver,"$226,945,087","$107,825,862",52.5%,"$119,119,225"
43,Valerian and the City of a Thousand Planets,"$225,874,228","$41,189,488",81.8%,"$184,684,740"
44,Geostorm,"$221,600,160","$33,700,160",84.8%,"$187,900,000"
45,The Emoji Movie,"$217,776,646","$86,089,513",60.5%,"$131,687,133"
46,A Dog's Purpose,"$205,035,819","$64,508,620",68.5%,"$140,527,199"
47,Smurfs: The Lost Village,"$197,183,546","$45,020,282",77.2%,"$152,163,264"
48,The Shape of Water,"$195,333,312","$63,859,435",67.3%,"$131,473,877"
49,Pitch Perfect 3,"$185,400,345","$104,897,530",43.4%,"$80,502,815"
50,Daddy's Home 2,"$180,613,180","$104,029,443",42.4%,"$76,583,737"
51,The Post,"$179,769,457","$81,903,458",54.4%,"$97,865,999"
52,Baywatch,"$177,856,751","$58,060,186",67.4%,"$119,796,565"
53,The Hitman's Bodyguard,"$176,586,701","$75,468,583",57.3%,"$101,118,118"
54,John Wick: Chapter 2,"$171,539,887","$92,029,184",46.4%,"$79,510,703"
55,Ghost in the Shell,"$169,801,921","$40,563,557",76.1%,"$129,238,364"
56,"Three Billboards Outside Ebbing, Missouri","$160,192,031","$54,513,740",66%,"$105,678,291"
57,Duckweed,"$152,894,264","$471,575",99.7%,"$152,422,689"
58,Darkest Hour,"$150,847,207","$56,468,410",62.6%,"$94,378,797"
59,King Arthur: Legend of the Sword,"$148,675,066","$39,175,066",73.7%,"$109,500,000"
60,The Foreigner,"$145,374,099","$34,393,507",76.3%,"$110,980,592"
61,Power Rangers,"$142,337,240","$85,364,450",40%,"$56,972,790"
62,Girls Trip,"$140,552,359","$115,171,585",18.1%,"$25,380,774"
63,American Made,"$134,866,593","$51,342,000",61.9%,"$83,524,593"
64,A Bad Moms Christmas,"$130,560,428","$72,110,659",44.8%,"$58,449,769"
65,Happy Death Day,"$125,479,266","$55,683,845",55.6%,"$69,795,421"
66,Captain Underpants: The First Epic Movie,"$125,427,681","$73,921,000",41.1%,"$51,506,681"
67,The Lego Ninjago Movie,"$123,081,555","$59,281,555",51.8%,"$63,800,000"
68,Secret Superstar,"$122,026,260",-,100%,"$122,026,260"
69,The Commuter,"$119,942,387","$36,343,858",69.7%,"$83,598,529"
70,The Dark Tower,"$113,231,078","$50,701,325",55.2%,"$62,529,753"
71,Buddies in India,"$110,155,128","$293,194",99.7%,"$109,861,934"
72,Along With the Gods: The Two Worlds,"$109,383,972","$1,908,823",98.3%,"$107,475,149"
73,Jigsaw,"$102,952,888","$38,052,832",63%,"$64,900,056"
74,Life,"$100,541,806","$30,234,022",69.9%,"$70,307,784"
75,Atomic Blonde,"$100,014,025","$51,687,870",48.3%,"$48,326,155"
76,The Shack,"$96,942,115","$57,386,418",40.8%,"$39,555,697"
77,Chasing the Dragon,"$87,965,942","$456,854",99.5%,"$87,509,088"
78,Tiger Zinda Hai,"$87,320,000","$5,560,921",93.6%,"$81,759,079"
79,A Taxi Driver,"$86,252,940","$1,527,829",98.2%,"$84,725,111"
80,Going in Style,"$84,918,541","$45,018,541",47%,"$39,900,000"
81,Rings,"$83,080,890","$27,793,018",66.5%,"$55,287,872"
82,Once Upon A Time,"$82,886,178","$485,728",99.4%,"$82,400,450"
83,Lady Bird,"$78,965,611","$48,958,273",38%,"$30,007,338"
84,The Nut Job 2: Nutty by Nature,"$68,743,485","$28,370,522",58.7%,"$40,372,963"
85,American Assassin,"$67,234,188","$36,249,674",46.1%,"$30,984,514"
86,Victoria & Abdul,"$66,558,465","$22,245,070",66.6%,"$44,313,395"
87,The Mountain Between Us,"$62,832,209","$30,348,555",51.7%,"$32,483,654"
88,The Star,"$62,812,974","$40,852,824",35%,"$21,960,150"
89,How to Be a Latin Lover,"$62,547,032","$32,149,404",48.6%,"$30,397,628"
90,47 Meters Down,"$62,187,529","$44,307,191",28.8%,"$17,880,338"
91,"Everything, Everything","$61,621,140","$34,121,140",44.6%,"$27,500,000"
92,Snatched,"$60,845,711","$45,852,178",24.6%,"$14,993,533"
93,My Little Pony: The Movie,"$60,330,833","$21,885,107",63.7%,"$38,445,726"
94,Molly's Game,"$59,284,015","$28,780,744",51.5%,"$30,503,271"
95,The Devotion of Suspect X,"$59,035,664","$686,435",98.8%,"$58,349,229"
96,Shock Wave,"$58,815,633",-,100%,"$58,815,633"
97,Goldbuster,"$57,628,292","$186,135",99.7%,"$57,442,157"
98,All the Money in the World,"$56,996,304","$25,113,707",55.9%,"$31,882,597"
99,The Big Sick,"$56,411,585","$42,873,127",24%,"$13,538,458"
100,Confidential Assignment,"$55,972,241","$475,618",99.2%,"$55,496,623"
101,All Eyez on Me,"$55,668,698","$44,922,302",19.3%,"$10,746,396"
102,Downsizing,"$55,003,890","$24,449,754",55.5%,"$30,554,136"
103,"I, Tonya","$53,939,297","$30,014,539",44.4%,"$23,924,758"
104,Logan Lucky,"$48,453,605","$27,780,977",42.7%,"$20,672,628"
105,Boo 2! A Madea Halloween,"$48,333,932","$47,319,572",2.1%,"$1,014,360"
106,Phantom Thread,"$47,756,590","$21,198,205",55.6%,"$26,558,385"
107,Rough Night,"$47,347,283","$22,105,643",53.3%,"$25,241,640"
108,Son of Bigfoot,"$47,046,281","$289,308",99.4%,"$46,756,973"
109,The Thousand Faces of Dunjia,"$46,263,237","$124,187",99.7%,"$46,139,050"
110,The Battleship Island,"$46,183,383","$1,104,957",97.6%,"$45,078,426"
111,Flatliners,"$45,158,254","$16,883,115",62.6%,"$28,275,139"
112,Mother!,"$44,516,999","$17,800,004",60%,"$26,716,995"
113,Wind River,"$43,980,821","$33,800,859",23.1%,"$10,179,962"
114,Battle of Memories,"$43,892,362","$594,552",98.6%,"$43,297,810"
115,The Snowman,"$43,155,261","$6,700,035",84.5%,"$36,455,226"
116,Gifted,"$43,046,590","$24,801,212",42.4%,"$18,245,378"
117,Loving Vincent,"$42,187,665","$6,735,118",84%,"$35,452,547"
118,Mary and the Witch's Flower,"$41,978,431","$2,418,404",94.2%,"$39,560,027"
119,Call Me by Your Name,"$41,887,595","$18,095,701",56.8%,"$23,791,894"
120,T2 Trainspotting,"$41,681,746","$2,402,004",94.2%,"$39,279,742"
121,Fist Fight,"$41,087,017","$32,187,017",21.7%,"$8,900,000"
122,The Circle,"$40,656,399","$20,497,844",49.6%,"$20,158,555"
123,Diary of a Wimpy Kid: The Long Haul,"$40,140,972","$20,738,724",48.3%,"$19,402,248"
124,Brotherhood of Blades 2,"$39,966,092","$14,204",100%,"$39,951,888"
125,Pokémon the Movie: I Choose You!,"$37,552,144","$2,401,722",93.6%,"$35,150,422"
126,Home Again,"$37,270,721","$27,020,284",27.5%,"$10,250,437"
127,The Adventurers,"$36,796,816","$216,556",99.4%,"$36,580,260"
128,Tad the Lost Explorer and the Secret of King Midas,"$35,704,046","$5,874",100%,"$35,698,172"
129,Hostiles,"$35,669,017","$29,819,114",16.4%,"$5,849,903"
130,Namiya,"$35,351,623","$70,814",99.8%,"$35,280,809"
131,Kidnap,"$34,814,102","$30,971,040",11%,"$3,843,062"
132,The House,"$34,184,504","$25,584,504",25.2%,"$8,600,000"
133,I Want to Eat Your Pancreas,"$33,748,006","$277,019",99.2%,"$33,470,987"
134,Perfect Strangers,"$33,262,366","$1,014,507",96.9%,"$32,247,859"
135,Sleepless,"$32,917,353","$20,783,704",36.9%,"$12,133,649"
136,This Is Not What I Expected,"$30,996,615","$337,670",98.9%,"$30,658,945"
137,Reset 2017 Re-release,"$29,949,252","$108,970",99.6%,"$29,840,282"
138,The Bye Bye Man,"$29,874,280","$22,395,806",25%,"$7,478,474"
139,The Disaster Artist,"$29,820,616","$21,120,616",29.2%,"$8,700,000"
140,The Swindlers,"$29,721,916","$241,916",99.2%,"$29,480,000"
141,Sword Art Online The Movie: Ordinal Scale,"$29,322,339","$1,522,976",94.8%,"$27,799,363"
142,Twins 2,"$28,733,523","$1,431,255",95%,"$27,302,268"
143,The Fortress,"$28,645,448","$252,895",99.1%,"$28,392,553"
144,Monster Family,"$27,890,108","$127,259",99.5%,"$27,762,849"
145,The Beguiled,"$27,869,129","$10,709,995",61.6%,"$17,159,134"
146,Chips,"$26,800,152","$18,600,152",30.6%,"$8,200,000"
147,A Cure for Wellness,"$26,620,002","$8,106,986",69.5%,"$18,513,016"
148,Only the Brave,"$26,351,322","$18,343,983",30.4%,"$8,007,339"
149,The Zookeeper's Wife,"$26,152,835","$17,571,660",32.8%,"$8,581,175"
150,Badrinath Ki Dulhania,"$26,134,309","$1,993,259",92.4%,"$24,141,050"
151,Fireworks,"$25,672,406","$525,280",98%,"$25,147,126"
152,Father Figures,"$25,601,244","$17,501,244",31.6%,"$8,100,000"
153,The Death of Stalin,"$24,646,055","$8,047,856",67.3%,"$16,598,199"
154,Jolly LLB 2,"$24,214,186","$1,654,254",93.2%,"$22,559,932"
155,I Can Speak,"$24,024,444","$63,239",99.7%,"$23,961,205"
156,Wish Upon,"$23,468,586","$14,301,505",39.1%,"$9,167,081"
157,Detroit,"$23,355,100","$16,790,139",28.1%,"$6,564,961"
158,Extraordinary Mission,"$22,757,764","$54,174",99.8%,"$22,703,590"
159,The Glass Castle,"$22,088,533","$17,273,059",21.8%,"$4,815,474"
160,Leap! 2017 Re-release,"$21,929,861","$21,858,070",0.3%,"$71,791"
161,The Prison,"$21,205,329","$207,481",99%,"$20,997,848"
162,It Comes at Night,"$19,735,344","$13,985,117",29.1%,"$5,750,227"
163,The Lost City of Z,"$19,263,938","$8,580,410",55.5%,"$10,683,528"
164,Memoir of a Murderer,"$19,015,346","$91,335",99.5%,"$18,924,011"
165,Battle of the Sexes,"$18,598,607","$12,638,526",32%,"$5,960,081"
166,Fabricated City,"$18,307,490","$104,874",99.4%,"$18,202,616"
167,The Case for Christ,"$18,175,663","$14,682,684",19.2%,"$3,492,979"
168,Unforgettable,"$17,768,012","$11,368,012",36%,"$6,400,000"
169,Toilet: A Love Story,"$17,567,417","$1,830,715",89.6%,"$15,736,702"
170,Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$17,422,935","$193,833",98.9%,"$17,229,102"
171,Legend of the Naga Pearls,"$17,274,695","$13,588",99.9%,"$17,261,107"
172,Before I Fall,"$16,373,843","$12,241,122",25.2%,"$4,132,721"
173,The Space Between Us,"$16,080,475","$7,885,294",51%,"$8,195,181"
174,Wonder Wheel,"$15,889,124","$1,404,061",91.2%,"$14,485,063"
175,Gold,"$14,880,939","$7,227,038",51.4%,"$7,653,901"
176,School of Life,"$14,880,497","$6,300",100%,"$14,874,197"
177,Megan Leavey,"$14,510,490","$13,406,883",7.6%,"$1,103,607"
178,Do It Like An Hombre,"$13,610,252","$2,534,252",81.4%,"$11,076,000"
179,The Third Murder,"$13,411,936","$89,315",99.3%,"$13,322,621"
180,Our President,"$13,392,049","$507,268",96.2%,"$12,884,781"
181,Paris Can Wait,"$13,203,541","$5,617,731",57.5%,"$7,585,810"
182,"Roman J. Israel, Esq.","$13,025,860","$11,962,778",8.2%,"$1,063,082"
183,Mubarakan,"$12,899,968","$758,868",94.1%,"$12,141,100"
184,Earth: One Amazing Day,"$12,851,540","$81,345",99.4%,"$12,770,195"
185,Suburbicon,"$12,751,667","$5,775,178",54.7%,"$6,976,489"
186,Their Finest,"$12,597,262","$3,603,484",71.4%,"$8,993,778"
187,The Promise,"$12,448,676","$8,224,288",33.9%,"$4,224,388"
188,Marrowbone,"$12,294,931","$1,377",100%,"$12,293,554"
189,The Bookshop,"$12,055,868","$1,588,150",86.8%,"$10,467,718"
190,Viceroy's House,"$11,868,221","$1,105,717",90.7%,"$10,762,504"
191,Back to Burgundy,"$11,625,884","$257,610",97.8%,"$11,368,274"
192,The King's Case Note,"$11,383,493","$90,959",99.2%,"$11,292,534"
193,The Belko Experiment,"$11,084,630","$10,166,820",8.3%,"$917,810"
194,The Florida Project,"$10,971,298","$5,904,366",46.2%,"$5,066,932"
195,A Bag of Marbles,"$10,898,998","$411,318",96.2%,"$10,487,680"
196,The Leisure Seeker,"$10,472,180","$3,226,443",69.2%,"$7,245,737"
197,Furious,"$10,433,259","$9,996",99.9%,"$10,423,263"
198,Marshall,"$10,116,816","$10,051,659",0.6%,"$65,157"
199,Thank You for Your Service,"$9,995,692","$9,536,300",4.6%,"$459,392"
200,Maudie,"$9,733,932","$6,170,998",36.6%,"$3,562,934"
201,Overdrive,"$9,650,552","$7,793",99.9%,"$9,642,759"
202,God of War,"$9,559,524","$53,000",99.4%,"$9,506,524"
203,The Square,"$9,493,791","$1,502,347",84.2%,"$7,991,444"
204,Our Time Will Come,"$9,484,714","$114,560",98.8%,"$9,370,154"
205,The Mayor 2017 Re-release,"$9,476,194","$96,777",99%,"$9,379,417"
206,The Big Bad Fox and Other Tales 2017 Re-release,"$9,422,127","$35,787",99.6%,"$9,386,340"
207,You Were Never Really Here,"$9,360,514","$2,528,078",73%,"$6,832,436"
208,Tulip Fever,"$9,204,549","$2,455,635",73.3%,"$6,748,914"
209,My Cousin Rachel,"$9,200,168","$2,716,368",70.5%,"$6,483,800"
210,City Of Rock,"$9,118,873","$312,537",96.6%,"$8,806,336"
211,Bluebeard,"$8,855,737","$43,144",99.5%,"$8,812,593"
212,The Villainess,"$8,737,458","$27,741",99.7%,"$8,709,717"
213,Stronger,"$8,503,658","$4,211,129",50.5%,"$4,292,529"
214,Amityville: The Awakening,"$8,481,997",$742,100%,"$8,481,255"
215,Condorito: The Movie,"$8,431,194","$447,719",94.7%,"$7,983,475"
216,Raees,"$8,428,190","$3,262,954",61.3%,"$5,165,236"
217,I Am Not Your Negro,"$8,345,298","$7,123,919",14.6%,"$1,221,379"
218,The Man Who Invented Christmas,"$8,096,007","$5,676,486",29.9%,"$2,419,521"
219,3 idiotas,"$7,738,470","$1,249,233",83.9%,"$6,489,237"
220,Explosion,"$7,731,410","$122,700",98.4%,"$7,608,710"
221,BPM (Beats Per Minute),"$7,704,369","$125,189",98.4%,"$7,579,180"
222,Just Getting Started,"$7,634,022","$6,069,605",20.5%,"$1,564,417"
223,Beatriz at Dinner,"$7,425,391","$7,115,854",4.2%,"$309,537"
224,Goodbye Christopher Robin,"$7,401,949","$1,735,251",76.6%,"$5,666,698"
225,The Midwife,"$7,286,136","$603,582",91.7%,"$6,682,554"
226,Let There Be Light,"$7,233,471","$7,233,471",-,-
227,Birth of the Dragon,"$7,215,027","$6,901,965",4.3%,"$313,062"
228,Blade of the Immortal,"$7,162,617","$150,532",97.9%,"$7,012,085"
229,The Killing of a Sacred Deer,"$7,027,336","$2,291,901",67.4%,"$4,735,435"
230,Churchill,"$6,724,365","$1,281,258",80.9%,"$5,443,107"
231,Everybody Loves Somebody,"$6,481,798","$1,915,789",70.4%,"$4,566,009"
232,Same Kind of Different as Me,"$6,423,605","$6,423,605",-,-
233,Hampstead,"$6,335,171","$144,396",97.7%,"$6,190,775"
234,Lowriders,"$6,312,033","$6,303,560",0.1%,"$8,473"
235,Norman,"$6,217,567","$3,814,868",38.6%,"$2,402,699"
236,All Saints,"$5,942,565","$5,802,208",2.4%,"$140,357"
237,Phillauri,"$5,805,030","$467,596",91.9%,"$5,337,434"
238,Dalida,"$5,623,134","$3,465",99.9%,"$5,619,669"
239,The Party,"$5,597,950","$749,827",86.6%,"$4,848,123"
240,Warriors of the Dawn,"$5,497,176","$84,532",98.5%,"$5,412,644"
241,OK Jaanu,"$5,445,281","$355,922",93.5%,"$5,089,359"
242,An Inconvenient Sequel: Truth to Power,"$5,433,926","$3,496,795",35.6%,"$1,937,131"
243,Lady Macbeth,"$5,401,447","$1,129,408",79.1%,"$4,272,039"
244,In the Fade,"$5,104,991","$321,011",93.7%,"$4,783,980"
245,The Sense of an Ending,"$5,081,495","$1,274,420",74.9%,"$3,807,075"
246,Table 19,"$5,042,014","$3,614,896",28.3%,"$1,427,118"
247,Kedi,"$5,037,923","$2,835,047",43.7%,"$2,202,876"
248,Breathe,"$5,026,154","$490,131",90.2%,"$4,536,023"
249,Double Lover,"$5,012,423","$167,581",96.7%,"$4,844,842"
250,The Young Karl Marx,"$4,870,373","$125,659",97.4%,"$4,744,714"
251,Mazinger Z: INFINITY,"$4,812,371","$220,682",95.4%,"$4,591,689"
252,Unlocked,"$4,699,125",-,100%,"$4,699,125"
253,Tubelight,"$4,650,456","$930,058",80%,"$3,720,398"
254,The Book of Henry,"$4,596,705","$4,504,974",2%,"$91,731"
