Rank,Release Group,Worldwide,Domestic,%,Foreign
32,Passengers,"$303,144,152","$100,014,699",67%,"$203,129,453"
33,Alice Through the Looking Glass,"$299,457,024","$77,041,381",74.3%,"$222,415,643"
34,Miss Peregrine's Home for Peculiar Children,"$296,482,446","$87,242,834",70.6%,"$209,239,612"
35,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848","$82,051,601",66.6%,"$163,572,247"
36,Sully,"$240,797,623","$125,070,033",48.1%,"$115,727,590"
37,Assassin's Creed,"$240,697,856","$54,647,948",77.3%,"$186,049,908"
38,Hidden Figures,"$235,956,898","$169,607,287",28.1%,"$66,349,611"
39,Ghostbusters,"$229,147,509","$128,350,574",44%,"$100,796,935"
40,Inferno,"$220,021,259","$34,343,574",84.4%,"$185,677,685"
41,Central Intelligence,"$216,972,543","$127,440,871",41.3%,"$89,531,672"
42,Bridget Jones's Baby,"$211,952,420","$24,252,420",88.6%,"$187,700,000"
43,Me Before You,"$208,314,186","$56,245,075",73%,"$152,069,111"
44,London Has Fallen,"$205,754,447","$62,524,260",69.6%,"$143,230,187"
45,Arrival,"$203,388,186","$100,546,139",50.6%,"$102,842,047"
46,The BFG,"$195,243,411","$55,483,770",71.6%,"$139,759,641"
47,The Monkey King 2,"$193,678,298","$709,982",99.6%,"$192,968,316"
48,Bad Moms,"$183,936,074","$113,257,297",38.4%,"$70,678,777"
49,Storks,"$183,388,953","$72,679,278",60.4%,"$110,709,675"
50,Hacksaw Ridge,"$180,450,918","$67,209,615",62.8%,"$113,241,303"
51,Allegiant,"$179,246,868","$66,184,051",63.1%,"$113,062,817"
52,Operation Mekong,"$173,839,072","$800,012",99.5%,"$173,039,060"
53,The Girl on the Train,"$173,185,859","$75,395,035",56.5%,"$97,790,824"
54,The Huntsman: Winter's War,"$164,989,338","$48,390,190",70.7%,"$116,599,148"
55,The Magnificent Seven,"$162,360,636","$93,432,655",42.5%,"$68,927,981"
56,Jack Reacher: Never Go Back,"$162,146,076","$58,697,076",63.8%,"$103,449,000"
57,Don't Breathe,"$157,830,487","$89,217,875",43.5%,"$68,612,612"
58,The Accountant,"$155,160,045","$86,260,045",44.4%,"$68,900,000"
59,Lights Out,"$148,868,835","$67,268,835",54.8%,"$81,600,000"
60,Pete's Dragon,"$143,695,338","$76,233,151",46.9%,"$67,462,187"
61,Sausage Party,"$140,705,322","$97,685,686",30.6%,"$43,019,636"
62,Lion,"$140,312,928","$51,738,905",63.1%,"$88,574,023"
63,Mechanic: Resurrection,"$125,729,635","$21,218,403",83.1%,"$104,511,232"
64,Deepwater Horizon,"$121,790,373","$61,433,527",49.6%,"$60,356,846"
65,Allied,"$119,520,023","$40,098,064",66.5%,"$79,421,959"
66,I Belonged to You,"$119,107,580","$744,541",99.4%,"$118,363,039"
67,The Shallows,"$119,100,758","$55,124,043",53.7%,"$63,976,715"
68,The Purge: Election Year,"$118,587,880","$79,213,375",33.2%,"$39,374,505"
69,Why Him?,"$118,102,725","$60,323,786",48.9%,"$57,778,939"
70,Finding Mr Right 2,"$114,679,097",-,100%,"$114,679,097"
71,Office Christmas Party,"$114,501,299","$54,767,494",52.2%,"$59,733,805"
72,How to Be Single,"$112,343,513","$46,843,513",58.3%,"$65,500,000"
73,10 Cloverfield Lane,"$110,216,998","$72,082,998",34.6%,"$38,134,000"
74,Neighbors 2: Sorority Rising,"$108,007,109","$55,455,765",48.7%,"$52,551,344"
75,Cold War II,"$103,197,501","$560,824",99.5%,"$102,636,677"
76,Railroad Tigers,"$102,205,175","$218,044",99.8%,"$101,987,131"
77,Some Like It Hot,"$95,721,320","$100,026",99.9%,"$95,621,294"
78,Dirty Grandpa,"$94,073,028","$35,593,113",62.2%,"$58,479,915"
79,Ben-Hur,"$94,061,311","$26,410,477",71.9%,"$67,650,834"
80,Money Monster,"$93,282,604","$41,012,075",56%,"$52,270,529"
81,Train to Busan,"$92,688,375","$2,129,768",97.7%,"$90,558,607"
82,My Big Fat Greek Wedding 2,"$90,632,641","$59,689,605",34.1%,"$30,943,036"
83,Collateral Beauty,"$88,528,280","$31,016,021",65%,"$57,512,259"
84,Sultan,"$87,280,000","$6,200,000",92.9%,"$81,080,000"
85,War Dogs,"$86,234,523","$43,034,523",50.1%,"$43,200,000"
86,Nerve,"$85,251,425","$38,583,626",54.7%,"$46,667,799"
87,Leap!,"$84,197,417","$2,844,490",96.6%,"$81,352,927"
88,Ouija: Origin of Evil,"$81,705,746","$35,144,505",57%,"$46,561,241"
89,Underworld: Blood Wars,"$81,093,313","$30,353,973",62.6%,"$50,739,340"
90,Manchester by the Sea,"$78,988,148","$47,695,371",39.6%,"$31,292,777"
91,The Boss,"$78,844,582","$63,285,885",19.7%,"$15,558,697"
92,Shin Godzilla,"$77,947,607","$1,918,403",97.5%,"$76,029,204"
93,Mike and Dave Need Wedding Dates,"$77,068,246","$46,009,673",40.3%,"$31,058,573"
94,Kubo and the Two Strings,"$76,249,438","$48,023,088",37%,"$28,226,350"
95,Tyler Perry's Boo! A Madea Halloween,"$74,827,344","$73,206,343",2.2%,"$1,621,001"
96,Miracles from Heaven,"$73,983,003","$61,705,123",16.6%,"$12,277,880"
97,I Am Not Madame Bovary,"$70,826,207","$436,798",99.4%,"$70,389,409"
98,One Piece Film: Gold,"$66,207,073","$423,593",99.4%,"$65,783,480"
99,Moonlight,"$65,336,603","$27,854,932",57.4%,"$37,481,671"
100,Monster Trucks,"$64,493,915","$33,370,166",48.3%,"$31,123,749"
101,Fences,"$64,414,761","$57,682,904",10.5%,"$6,731,857"
102,"Hail, Caesar!","$63,647,656","$30,498,085",52.1%,"$33,149,571"
103,The Nice Guys,"$62,788,218","$36,261,763",42.2%,"$26,526,455"
104,Huo guo ying xiong,"$58,106,427","$779,818",98.7%,"$57,326,609"
105,L.O.R.D: Legend of Ravaging Dynasties,"$58,089,494","$350,456",99.4%,"$57,739,038"
106,Nine Lives,"$57,814,445","$19,700,032",65.9%,"$38,114,413"
107,Zoolander 2,"$56,722,693","$28,848,693",49.1%,"$27,874,000"
108,Barbershop: The Next Cut,"$55,030,051","$54,030,051",1.8%,"$1,000,000"
109,The Age of Shadows,"$54,491,162","$541,719",99%,"$53,949,443"
110,Tunnel,"$52,444,295","$568,876",98.9%,"$51,875,419"
111,Patriots Day,"$52,185,751","$31,886,361",38.9%,"$20,299,390"
112,The Finest Hours,"$52,099,090","$27,569,558",47.1%,"$24,529,532"
113,Master,"$51,636,415","$597,251",98.8%,"$51,039,164"
114,The Wailing,"$49,851,770","$786,633",98.4%,"$49,065,137"
115,So Young 2: Never Gone,"$48,980,792","$96,421",99.8%,"$48,884,371"
116,Luck-Key,"$48,913,975","$466,505",99%,"$48,447,470"
117,Florence Foster Jenkins,"$48,902,953","$27,383,770",44%,"$21,519,183"
118,Mother's Day,"$48,782,670","$32,492,859",33.4%,"$16,289,811"
119,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,899,805","$257,343",99.5%,"$47,642,462"
120,A Monster Calls,"$47,309,313","$3,740,823",92.1%,"$43,568,490"
121,Risen,"$46,432,579","$36,880,033",20.6%,"$9,552,546"
122,Eddie the Eagle,"$46,152,800","$15,789,389",65.8%,"$30,363,411"
123,Blair Witch,"$45,173,154","$20,777,061",54%,"$24,396,093"
124,Café Society,"$43,763,247","$11,103,205",74.6%,"$32,660,042"
125,League of Gods,"$43,498,766","$181,633",99.6%,"$43,317,133"
126,Almost Christmas,"$42,580,920","$42,158,780",1%,"$422,140"
127,The Witch,"$40,423,945","$25,138,705",37.8%,"$15,285,240"
128,The Wild Life,"$40,075,446","$8,005,586",80%,"$32,069,860"
129,The Forest,"$39,712,000","$26,594,261",33%,"$13,117,739"
130,Absolutely Fabulous: The Movie,"$39,219,109","$4,772,155",87.8%,"$34,446,954"
131,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039",-,100%,"$38,659,039"
132,Hell or High Water,"$37,879,877","$27,007,844",28.7%,"$10,872,033"
133,The Handmaiden,"$37,692,886","$2,006,788",94.7%,"$35,686,098"
134,Snowden,"$37,357,216","$21,587,519",42.2%,"$15,769,697"
135,Eye in the Sky,"$35,259,653","$18,704,595",47%,"$16,555,058"
136,Ae Dil Hai Mushkil,"$31,668,920","$4,264,983",86.5%,"$27,403,937"
137,Billy Lynn's Long Halftime Walk,"$30,930,984","$1,738,477",94.4%,"$29,192,507"
138,Norm of the North,"$30,734,502","$17,062,499",44.5%,"$13,672,003"
139,When the Bough Breaks,"$30,658,387","$29,747,603",3%,"$910,784"
140,Nocturnal Animals,"$30,311,857","$10,663,357",64.8%,"$19,648,500"
141,A Silent Voice: The Movie,"$30,156,463","$310,407",99%,"$29,846,056"
142,Keeping Up with the Joneses,"$29,918,745","$14,904,426",50.2%,"$15,014,319"
143,Masterminds,"$29,674,699","$17,368,022",41.5%,"$12,306,677"
144,M.S. Dhoni: The Untold Story,"$28,903,047","$1,801,550",93.8%,"$27,101,497"
145,Fan,"$28,240,000","$2,300,000",91.9%,"$25,940,000"
146,The Brothers Grimsby,"$27,979,040","$6,874,837",75.4%,"$21,104,203"
147,The Light Between Oceans,"$25,975,621","$12,545,979",51.7%,"$13,429,642"
148,A Beautiful Planet,"$25,730,120","$15,650,615",39.2%,"$10,079,505"
149,Mr. Donkey,"$25,537,759","$356,255",98.6%,"$25,181,504"
150,Born in China,"$25,081,168","$13,873,211",44.7%,"$11,207,957"
151,Race,"$25,070,261","$19,206,207",23.4%,"$5,864,054"
152,Free State of Jones,"$25,035,950","$20,810,036",16.9%,"$4,225,914"
153,Whiskey Tango Foxtrot,"$24,972,139","$23,083,334",7.6%,"$1,888,805"
154,The Snow Queen 3: Fire and Ice,"$24,644,317",-,100%,"$24,644,317"
155,God's Not Dead 2,"$24,487,848","$20,774,575",15.2%,"$3,713,273"
156,Jackie,"$24,270,399","$13,960,394",42.5%,"$10,310,005"
157,The Founder,"$24,121,245","$12,786,053",47%,"$11,335,192"
158,Bad Santa 2,"$24,079,268","$17,782,178",26.2%,"$6,297,090"
159,Spirits' Homecoming,"$23,857,217","$125,616",99.5%,"$23,731,601"
160,Silence,"$23,834,809","$7,100,177",70.2%,"$16,734,632"
161,What Now?,"$23,591,043","$23,591,043",-,-
162,No manches Frida,"$23,540,937","$11,528,613",51%,"$12,012,324"
163,Middle School: The Worst Years of My Life,"$23,316,139","$20,007,149",14.2%,"$3,308,990"
164,Triple 9,"$23,177,948","$12,639,297",45.5%,"$10,538,651"
165,Rock Dog,"$23,157,646","$9,420,546",59.3%,"$13,737,100"
166,The Choice,"$23,064,015","$18,730,891",18.8%,"$4,333,124"
167,Sweet Sixteen,"$22,819,702","$34,327",99.8%,"$22,785,375"
168,Captain Fantastic,"$22,787,526","$5,879,835",74.2%,"$16,907,691"
169,Live by Night,"$22,678,555","$10,378,555",54.2%,"$12,300,000"
170,Hunt for the Wilderpeople,"$22,519,390","$5,205,468",76.9%,"$17,313,922"
171,Julieta,"$22,468,044","$1,490,948",93.4%,"$20,977,096"
172,Love & Friendship,"$21,401,949","$14,016,568",34.5%,"$7,385,381"
173,The Infiltrator,"$21,011,110","$15,436,808",26.5%,"$5,574,302"
174,Keanu,"$20,651,333","$20,591,853",0.3%,"$59,480"
175,Cock and Bull,"$20,490,872","$82,778",99.6%,"$20,408,094"
176,In This Corner of the World,"$19,496,308","$172,147",99.1%,"$19,324,161"
177,The Edge of Seventeen,"$19,370,020","$14,431,633",25.5%,"$4,938,387"
178,My Annoying Brother,"$19,162,324","$51,996",99.7%,"$19,110,328"
179,The Wasted Times,"$18,345,372","$386,540",97.9%,"$17,958,832"
180,Asura,"$18,300,843","$175,702",99%,"$18,125,141"
181,Kapoor & Sons,"$17,412,627","$2,607,036",85%,"$14,805,591"
182,Hardcore Henry,"$16,810,562","$9,252,038",45%,"$7,558,524"
183,The Birth of a Nation,"$16,779,212","$15,861,566",5.5%,"$917,646"
184,Pride and Prejudice and Zombies,"$16,457,494","$10,938,134",33.5%,"$5,519,360"
185,"I, Daniel Blake","$15,793,051","$260,354",98.4%,"$15,532,697"
186,Irreplaceable,"$15,130,912","$8,494",99.9%,"$15,122,418"
187,Three,"$15,121,228","$119,550",99.2%,"$15,001,678"
188,The Take,"$14,857,808","$50,269",99.7%,"$14,807,539"
189,Seondal: The Man Who Sells the River,"$14,777,982","$97,477",99.3%,"$14,680,505"
190,Sword Master,"$14,714,624","$75,526",99.5%,"$14,639,098"
191,"Hello, My Name Is Doris","$14,659,448","$14,444,999",1.5%,"$214,449"
192,A United Kingdom,"$14,459,330","$3,902,185",73%,"$10,557,145"
193,The Other Side of the Door,"$14,332,467","$3,000,342",79.1%,"$11,332,125"
194,Sing Street,"$13,624,522","$3,237,118",76.2%,"$10,387,404"
195,Phantom of the Theatre,"$13,526,843","$43,955",99.7%,"$13,482,888"
196,Ratchet & Clank,"$13,385,737","$8,821,329",34.1%,"$4,564,408"
197,Hillary's America: The Secret History of the Democratic Party,"$13,099,931","$13,099,931",-,-
198,Shut In,"$13,082,071","$6,900,335",47.3%,"$6,181,736"
199,Loving,"$12,957,265","$7,751,969",40.2%,"$5,205,296"
200,Elle,"$12,748,594","$2,341,534",81.6%,"$10,407,060"
201,The Beatles: Eight Days a Week - The Touring Years,"$12,283,800","$2,930,414",76.1%,"$9,353,386"
202,The Man Who Knew Infinity,"$12,252,684","$3,866,794",68.4%,"$8,385,890"
203,I Married an Anti-Fan,"$12,194,083","$89,408",99.3%,"$12,104,675"
204,Toni Erdmann,"$11,784,207","$1,479,387",87.4%,"$10,304,820"
205,Seasons,"$11,425,100","$150,092",98.7%,"$11,275,008"
206,Friend Request,"$10,975,390","$3,759,078",65.7%,"$7,216,312"
207,The Darkness,"$10,898,293","$10,753,574",1.3%,"$144,719"
208,Our Kind of Traitor,"$10,711,027","$3,153,157",70.6%,"$7,557,870"
209,The Perfect Match,"$10,414,738","$9,669,521",7.2%,"$745,217"
210,Queen of Katwe,"$10,367,161","$8,874,389",14.4%,"$1,492,772"
211,The King's Choice,"$10,017,316","$113,231",98.9%,"$9,904,085"
212,Tamjung Hong Gil-dong: Sarajin Ma-eul,"$9,754,195","$67,054",99.3%,"$9,687,141"
213,Popstar: Never Stop Never Stopping,"$9,680,029","$9,639,125",0.4%,"$40,904"
214,Paterson,"$9,588,282","$2,152,738",77.5%,"$7,435,544"
215,A Hologram for the King,"$9,169,507","$4,212,494",54.1%,"$4,957,013"
216,Miss Sloane,"$9,101,546","$3,500,605",61.5%,"$5,600,941"
217,Meet the Blacks,"$9,097,072","$9,097,072",-,-
218,Incarnate,"$9,037,058","$4,799,774",46.9%,"$4,237,284"
219,Like Crazy,"$9,029,150","$107,362",98.8%,"$8,921,788"
220,The Lobster 2016 Re-release,"$8,952,351","$8,700,374",2.8%,"$251,977"
221,Morgan,"$8,809,407","$3,915,251",55.6%,"$4,894,156"
222,La folle histoire de Max et Léon,"$8,750,678",$543,100%,"$8,750,135"
223,A Street Cat Named Bob,"$8,446,262","$82,703",99%,"$8,363,559"
224,Time Renegades,"$8,312,361","$59,425",99.3%,"$8,252,936"
225,The New Year's Eve of Old Lee,"$8,099,301","$25,358",99.7%,"$8,073,943"
226,Denial,"$7,994,527","$4,073,489",49%,"$3,921,038"
227,For a Few Bullets,"$7,860,447","$30,142",99.6%,"$7,830,305"
228,Pele: Birth of a Legend,"$7,846,608","$57,046",99.3%,"$7,789,562"
229,Dongju: The Portrait of a Poet,"$7,809,531","$56,550",99.3%,"$7,752,981"
230,"Kiki, Love to Love","$7,551,282","$12,450",99.8%,"$7,538,832"
231,Frantz,"$7,478,354","$880,883",88.2%,"$6,597,471"
232,Yu-Gi-Oh!: The Dark Side of Dimensions,"$7,445,186","$1,015,339",86.4%,"$6,429,847"
233,Genius,"$7,435,006","$1,361,045",81.7%,"$6,073,961"
234,The Innocents,"$7,400,324","$1,065,665",85.6%,"$6,334,659"
235,Compadres,"$7,353,544","$3,127,773",57.5%,"$4,225,771"
236,The Young Messiah,"$7,330,338","$6,490,401",11.5%,"$839,937"
237,20th Century Women,"$7,214,806","$5,664,764",21.5%,"$1,550,042"
238,Gosanja: Dae-dong-yeo Ji-do,"$7,035,812","$34,034",99.5%,"$7,001,778"
239,The Salesman,"$6,953,604","$2,402,067",65.5%,"$4,551,537"
240,Collide,"$6,817,535","$2,280,004",66.6%,"$4,537,531"
241,Midnight Special,"$6,740,647","$3,712,282",44.9%,"$3,028,365"
242,Bleed for This,"$6,698,679","$5,083,906",24.1%,"$1,614,773"
243,Southside with You,"$6,628,603","$6,304,223",4.9%,"$324,380"
244,The Red Turtle,"$6,591,789","$921,974",86%,"$5,669,815"
245,A Melody to Remember,"$6,559,996","$44,263",99.3%,"$6,515,733"
246,From the Land of the Moon 2016 Re-release,"$6,524,799","$47,748",99.3%,"$6,477,051"
247,Max Steel,"$6,272,403","$3,818,664",39.1%,"$2,453,739"
248,The Autopsy of Jane Doe,"$6,170,043","$10,474",99.8%,"$6,159,569"
249,The Patriarch,"$6,156,936","$2,156,047",65%,"$4,000,889"
250,The Duelist,"$6,101,904","$13,450",99.8%,"$6,088,454"
251,Maggie's Plan,"$5,883,891","$3,351,735",43%,"$2,532,156"
252,My Life as a Zucchini,"$5,872,598","$309,766",94.7%,"$5,562,832"
253,The Disappointments Room,"$5,745,040","$2,423,468",57.8%,"$3,321,572"
254,Kingsglaive: Final Fantasy XV,"$5,725,482","$269,980",95.3%,"$5,455,502"
255,Like for Likes,"$5,715,555","$50,839",99.1%,"$5,664,716"
256,My Best Friend's Wedding,"$5,707,770","$78,578",98.6%,"$5,629,192"
257,Things to Come,"$5,638,693","$388,140",93.1%,"$5,250,553"
258,Wazir,"$5,633,588","$1,124,045",80%,"$4,509,543"
259,After the Storm,"$5,382,886","$272,132",94.9%,"$5,110,754"
260,Sky on fire,"$5,335,450","$78,366",98.5%,"$5,257,084"
261,The Meddler 2016 Re-release,"$5,294,643","$4,267,218",19.4%,"$1,027,425"
262,The Legend of Chupacabras,"$5,138,140",-,100%,"$5,138,140"
263,Anthropoid,"$5,079,219","$2,964,845",41.6%,"$2,114,374"
264,Hands of Stone,"$4,978,353","$4,712,792",5.3%,"$265,561"
265,Swiss Army Man,"$4,935,501","$4,210,454",14.7%,"$725,047"
266,Desierto,"$4,924,990","$2,002,036",59.3%,"$2,922,954"
267,Slack Bay,"$4,734,494","$112,621",97.6%,"$4,621,873"
268,Where to Invade Next,"$4,664,756","$3,827,261",18%,"$837,495"
269,Everybody Wants Some!!,"$4,644,472","$3,400,278",26.8%,"$1,244,194"
270,Find a Boyfriend for My Wife... PLEASE!,"$4,570,757","$1,741,889",61.9%,"$2,828,868"
271,Cezanne et Moi,"$4,529,583","$257,597",94.3%,"$4,271,986"
272,Batman: The Killing Joke,"$4,462,034","$3,775,000",15.4%,"$687,034"
273,Don't Think Twice,"$4,417,667","$4,417,667",-,-
274,The Commune,"$4,410,339","$38,737",99.1%,"$4,371,602"
275,The Eagle Huntress,"$4,400,140","$3,169,351",28%,"$1,230,789"
276,Kabali,"$4,388,789","$3,903,095",11.1%,"$485,694"
277,Demolition,"$4,366,460","$1,978,592",54.7%,"$2,387,868"
278,High-Rise,"$4,286,576","$346,472",91.9%,"$3,940,104"
279,Sheep & Wolves,"$4,190,750",-,100%,"$4,190,750"
280,A Quiet Passion,"$4,159,246","$1,865,396",55.2%,"$2,293,850"
281,The Last Princess,"$4,135,255","$29,259",99.3%,"$4,105,996"
282,Naam Hai Akira,"$4,108,063","$219,401",94.7%,"$3,888,662"
283,Indignation,"$3,924,527","$3,401,155",13.3%,"$523,372"
284,Rules Don't Apply,"$3,885,342","$3,652,206",6%,"$233,136"
285,Neruda,"$3,884,746","$939,101",75.8%,"$2,945,645"
286,Green Room,"$3,769,214","$3,220,371",14.6%,"$548,843"
287,The Last King,"$3,705,618","$8,905",99.8%,"$3,696,713"
288,Colonia,"$3,621,046","$15,709",99.6%,"$3,605,337"
289,Miles Ahead,"$3,473,958","$2,610,896",24.8%,"$863,062"
290,Obsession,"$3,454,709","$528,799",84.7%,"$2,925,910"
291,The Neon Demon,"$3,377,430","$1,333,124",60.5%,"$2,044,306"
292,Vanishing Time: A Boy Who Returned,"$3,328,517","$57,759",98.3%,"$3,270,758"
293,Bilal: A New Breed of Hero,"$3,254,027",-,100%,"$3,254,027"
294,Dear Zindagi,"$3,199,581","$2,376,479",25.7%,"$823,102"
295,Aquarius,"$3,085,977","$285,930",90.7%,"$2,800,047"
296,The Oscar Nominated Short Films 2016: Live Action,"$2,850,840","$2,816,816",1.2%,"$34,024"
297,Remember You,"$2,845,124","$14,814",99.5%,"$2,830,310"
298,Personal Shopper,"$2,840,408","$1,305,195",54%,"$1,535,213"
299,Battle for Incheon: Operation Chromite,"$2,749,918","$1,023,348",62.8%,"$1,726,570"
300,Hillsong: Let Hope Rise,"$2,649,761","$2,394,386",9.6%,"$255,375"
301,El Jeremías,"$2,540,144","$650,465",74.4%,"$1,889,679"
302,The Unknown Girl,"$2,432,640","$150,549",93.8%,"$2,282,091"
303,A Aa,"$2,313,043","$2,313,043",-,-
304,American Honey,"$2,290,649","$663,246",71%,"$1,627,403"
305,No culpes al karma de lo que te pasa por gilipollas,"$2,242,471","$5,614",99.7%,"$2,236,857"
306,Heal the Living,"$2,223,529","$3,176",99.9%,"$2,220,353"
307,My Scientology Movie,"$2,130,866","$22,936",98.9%,"$2,107,930"
308,Equals,"$2,084,628","$33,258",98.4%,"$2,051,370"
309,High Strung,"$2,084,451","$53,447",97.4%,"$2,031,004"
310,I'm Not Ashamed,"$2,082,980","$2,082,980",-,-
311,American Pastoral,"$2,063,436","$544,098",73.6%,"$1,519,338"
312,Being 17,"$2,045,219","$52,713",97.4%,"$1,992,506"
313,Graduation,"$2,015,002","$175,975",91.3%,"$1,839,027"
314,Little Men,"$2,008,649","$702,537",65%,"$1,306,112"
315,Greater,"$2,000,093","$2,000,093",-,-
316,1898: Our Last Men in the Philippines,"$1,995,045","$2,848",99.9%,"$1,992,197"
317,Housefull 3,"$1,944,262","$1,326,999",31.7%,"$617,263"
318,Purple Rain 2016 Re-release,"$1,868,929","$1,868,075",<0.1%,$854
319,Inseparables,"$1,864,605","$6,258",99.7%,"$1,858,347"
320,Elvis & Nixon,"$1,798,432","$1,055,287",41.3%,"$743,145"
321,Mine,"$1,788,934",-,100%,"$1,788,934"
322,Harry Potter IMAX Marathon,"$1,784,557","$1,729,226",3.1%,"$55,331"
323,I Saw the Light,"$1,767,963","$1,646,788",6.9%,"$121,175"
324,After Love,"$1,728,251","$13,693",99.2%,"$1,714,558"
325,Weiner,"$1,715,955","$1,676,108",2.3%,"$39,847"
326,"To Joey, with Love","$1,709,073","$1,709,073",-,-
327,In Between,"$1,679,952","$107,977",93.6%,"$1,571,975"
328,Equity,"$1,672,306","$1,605,463",4%,"$66,843"
329,The Comedian,"$1,659,002","$1,659,002",-,-
330,Rustom,"$1,658,594","$1,087,419",34.4%,"$571,175"
331,Dough,"$1,647,429","$1,148,304",30.3%,"$499,125"
332,Mohenjo Daro,"$1,630,231","$1,264,339",22.4%,"$365,892"
333,"New York, New York","$1,545,352","$92,377",94%,"$1,452,975"
334,The Wedding Plan,"$1,542,345","$1,412,404",8.4%,"$129,941"
335,Certain Women,"$1,526,698","$1,087,585",28.8%,"$439,113"
336,The Daughter,"$1,505,434","$26,376",98.2%,"$1,479,058"
337,Priceless,"$1,499,605","$1,499,605",-,-
338,Moka,"$1,493,067","$129,547",91.3%,"$1,363,520"
339,Oasis: Supersonic,"$1,478,119","$242,867",83.6%,"$1,235,252"
340,Lazer Team,"$1,406,538","$1,186,426",15.6%,"$220,112"
341,Born to Be Blue 2016 Re-release,"$1,401,411","$678,203",51.6%,"$723,208"
342,Papa,"$1,356,033","$26,677",98%,"$1,329,356"
343,The Teacher,"$1,350,426","$64,437",95.2%,"$1,285,989"
344,Kapow,"$1,331,922","$812,737",39%,"$519,185"
345,Baar Baar Dekho,"$1,329,777","$981,947",26.2%,"$347,830"
346,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,"$1,259,588","$1,176,781",6.6%,"$82,807"
347,Alone in Berlin,"$1,205,598","$33,125",97.3%,"$1,172,473"
348,Remember 2016 Re-release,"$1,181,023","$637,555",46%,"$543,468"
349,Fire at Sea,"$1,178,377","$120,933",89.7%,"$1,057,444"
350,Her & Him,"$1,166,781","$857,986",26.5%,"$308,795"
351,Vaxxed: From Cover-Up to Catastrophe,"$1,163,265","$1,163,265",-,-
352,Embrace: The Documentary,"$1,155,263","$629,126",45.5%,"$526,137"
353,The Hollars,"$1,138,609","$1,016,985",10.7%,"$121,624"
354,Cell,"$1,133,031",-,100%,"$1,133,031"
355,Dancer,"$1,131,649","$71,917",93.6%,"$1,059,732"
356,Papa Hemingway in Cuba,"$1,117,399","$1,115,615",0.2%,"$1,784"
357,The Insanity of God,"$1,102,525","$1,102,525",-,-
358,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur 2016 Re-release,"$1,100,947","$700,723",36.4%,"$400,224"
359,The First Monday in May,"$1,072,943","$527,474",50.8%,"$545,469"
360,Au nom de ma fille,"$1,066,493","$1,623",99.8%,"$1,064,870"
